# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID	ALIGNMENT
12862	TebulUre	anxiety (while waiting for news)	má.á+n.dú+ɡò	m áá + n d ú + ɡ ò	4 7 9 4 1 7 9 1 7	AX_ACZ_AX	MA_NTY_KU	14	14.M.C 14.A.V 14._._ 14.N.C 14.T.C 14.Y.V 14._._ 14.K.C 14.U.V	2.0 1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5	0	1122	m áá + n d ú + ɡ ò
12863	Tiranige	anxiety (while waiting for news)	nóɡó+rí	n ó ɡ ó + r í	4 7 1 7 9 5 7	AXBZ_AX	NUKU_RI	15	15.N.C 15.U.V 15.K.C 15.U.V 15._._ 15.R.C 15.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1128	n ó ɡ ó + r í
12864	TogoKan	anxiety (while waiting for news)	kìnè+ɡò.ó	k ì n è + ɡ ò ó	1 7 4 7 9 1 7 7	AXBZ_AXZ	KINE_KUU	16	16.K.C 16.I.V 16.N.C 16.E.V 16._._ 16.K.C 16.U.V 16.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	0	1129	k ì n è + ɡ ò ó
12865	TogoKan	anxiety (while waiting for news)	dʒí.íré	d ʒ íí r é	1 3 7 5 7	ACXBZ	TSIRE	16	16.T.C 16.S.C 16.I.V 16.R.C 16.E.V	2.0 1.5 1.5 1.75 0.8	0	1138	d ʒ íí r é
12866	TommoSoTongoTongo	anxiety (while waiting for news)	kú+m.bɔ̀	k ú + m b ɔ̀	1 7 9 4 1 7	AX_ACZ	KY_MPU	17	17.K.C 17.Y.V 17._._ 17.M.C 17.P.C 17.U.V	2.0 1.5 0.0 2.0 1.5 0.8	0	1118	k ú + m b ɔ̀ - - - - - -
12867	ToroTegu	anxiety (while waiting for news)	kú+mpà	k ú + m p à	1 7 9 4 1 7	AX_ACZ	KY_MPA	18	18.K.C 18.Y.V 18._._ 18.M.C 18.P.C 18.A.V	2.0 1.5 0.0 2.0 1.5 0.8	0	1118	k ú + m p à - - - - - -
12868	YandaDom	anxiety (while waiting for news)	kú+m.bà+m	k ú + m b à + m	1 7 9 4 1 7 9 4	AX_ACZ_A	KY_MPA_M	19	19.K.C 19.Y.V 19._._ 19.M.C 19.P.C 19.A.V 19._._ 19.M.C	2.0 1.5 0.0 2.0 1.5 0.8 0.0 2.0	0	1118	k ú + m b à + m - - - -
12869	YornoSo	anxiety (while waiting for news)	dɛ̀.ɛ̀pâ+j	d ɛ̀ɛ̀ p â + j	1 7 1 7 9 6	AXBZ_A	TEPA_J	20	20.T.C 20.E.V 20.P.C 20.A.V 20._._ 20.J.C	2.0 1.5 1.75 0.8 0.0 2.0	0	1133	d ɛ̀ɛ̀ p â + j
#
7393	BankanTey	approach, come close	bàs+í+dɔ́	b à s + í + d ɔ́	1 7 3 9 7 9 1 7	AXN_X_AX	PAS_I_TU	1	1.P.C 1.A.V 1.S.c 1._._ 1.I.V 1._._ 1.T.C 1.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5	0	1141	b à s + í + d ɔ́
7394	BankanTey	approach, come close	sɔ́s+í+n.d+é	s ɔ́ s + í + n d + é	3 7 3 9 7 9 4 1 9 7	AXN_X_AN_X	SUS_I_NT_E	1	1.S.C 1.U.V 1.S.c 1._._ 1.I.V 1._._ 1.N.C 1.T.c 1._._ 1.E.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 0.8 0.0 1.5	0	1159	s ɔ́ s + í + n d + - é
7395	BenTey	approach, come close	dɔ̀r+ɔ́+dɔ̌	d ɔ̀ r + ɔ́ + d ɔ̌	1 7 5 9 7 9 1 7	AXN_X_AX	TUR_U_TU	2	2.T.C 2.U.V 2.R.c 2._._ 2.U.V 2._._ 2.T.C 2.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5	0	1142	d ɔ̀ r + ɔ́ + d ɔ̌ -
7396	BenTey	approach, come close	sɔ́s+í+lí	s ɔ́ s + í + l í	3 7 3 9 7 9 5 7	AXN_X_AX	SUS_I_LI	2	2.S.C 2.U.V 2.S.c 2._._ 2.I.V 2._._ 2.L.C 2.I.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5	0	1159	s ɔ́ s + í + - - - l í
7397	Bunoge	approach, come close	kɛ́ɡ+ɛ̀	k ɛ́ ɡ + ɛ̀	1 7 1 9 7	AXN_X	KEK_E	4	4.K.C 4.E.V 4.K.c 4._._ 4.E.V	2.0 1.5 0.8 0.0 1.5	0	1144	k ɛ́ ɡ + ɛ̀
7398	DogulDomKundialang	approach, come close	bɛ̀r+ù+n.d+jɛ́	b ɛ̀ r + ù + n d + j ɛ́	1 7 5 9 7 9 4 1 9 6 7	AXN_X_AN_AX	PER_Y_NT_JE	6	6.P.C 6.E.V 6.R.c 6._._ 6.Y.V 6._._ 6.N.C 6.T.c 6._._ 6.J.C 6.E.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 0.8 0.0 2.0 1.5	0	1145	b ɛ̀ r + ù + n d + - j ɛ́
7399	DonnoSo	approach, come close	dɔ̀r+ɔ́+dɔ̀.ɔ́	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́	1 7 5 9 7 9 1 7 7	AXN_X_AXZ	TUR_U_TUU	7	7.T.C 7.U.V 7.R.c 7._._ 7.U.V 7._._ 7.T.C 7.U.V 7.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5 0.8	0	1142	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́
7400	JamsayDouentza	approach, come close	dɔ̀r+ɔ́+dɔ̀.ɔ́	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́	1 7 5 9 7 9 1 7 7	AXN_X_AXZ	TUR_U_TUU	8	8.T.C 8.U.V 8.R.c 8._._ 8.U.V 8._._ 8.T.C 8.U.V 8.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5 0.8	0	1142	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́
7401	Mombo	approach, come close	dín+jɛ́.ɛ̀	d í n + j ɛ́ ɛ̀	1 7 4 9 6 7 7	AXN_AXZ	TIN_JEE	10	10.T.C 10.I.V 10.N.c 10._._ 10.J.C 10.E.V 10.E.V	2.0 1.5 0.8 0.0 2.0 1.5 0.8	1	1148	d í n + j ɛ́ ɛ̀
7402	BonduSoNajamba	approach, come close	dʒà.án+dʒíj+dw+ɛ́.ɛ̀	d ʒ à á n + d ʒ í j + d w + ɛ́ ɛ̀	1 3 7 7 4 9 1 3 7 6 9 1 6 9 7 7	ACXYN_ACXN_AC_XZ	TSAAN_TSIJ_TW_EE	3	3.T.C 3.S.C 3.A.V 3.A.V 3.N.c 3._._ 3.T.C 3.S.C 3.I.V 3.J.c 3._._ 3.T.C 3.W.C 3._._ 3.E.V 3.E.V	2.0 1.5 1.5 1.3 0.8 0.0 2.0 1.5 1.5 0.8 0.0 2.0 1.5 0.0 1.5 0.8	0	1143	d ʒ à á n + d ʒ í j + d w + ɛ́ ɛ̀
7403	BonduSoNajamba	approach, come close	dùm+ó+n.d+í	d ù m + ó + n d + í	1 7 4 9 7 9 4 1 9 7	AXN_X_AN_X	TYM_U_NT_I	3	3.T.C 3.Y.V 3.M.c 3._._ 3.U.V 3._._ 3.N.C 3.T.c 3._._ 3.I.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 0.8 0.0 1.5	0	1161	d ù m + ó + n d + í
7404	Nanga	approach, come close	bɛ̀r+ɛ́+n.d+íjé	b ɛ̀ r + ɛ́ + n d + í j é	1 7 5 9 7 9 4 1 9 7 6 7	AXN_X_AN_XBZ	PER_E_NT_IJE	11	11.P.C 11.E.V 11.R.c 11._._ 11.E.V 11._._ 11.N.C 11.T.c 11._._ 11.I.V 11.J.C 11.E.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 0.8 0.0 1.5 1.75 0.8	0	1145	b ɛ̀ r + ɛ́ + n d + í j é
7405	Nanga	approach, come close	dɔ̀r+ɔ́+dɔ̀.ɔ́	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́	1 7 5 9 7 9 1 7 7	AXN_X_AXZ	TUR_U_TUU	11	11.T.C 11.U.V 11.R.c 11._._ 11.U.V 11._._ 11.T.C 11.U.V 11.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5 0.8	0	1142	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́
7406	Penange	approach, come close	dʒám+mì	d ʒ á m + m ì	1 3 7 4 9 4 7	ACXN_AX	TSAM_MI	12	12.T.C 12.S.C 12.A.V 12.M.c 12._._ 12.M.C 12.I.V	2.0 1.5 1.5 0.8 0.0 2.0 1.5	0	1150	d ʒ á m + m ì
7407	PergeTegu	approach, come close	dɔ̀.ɔ́	d ɔ̀ ɔ́	1 7 7	AXZ	TUU	13	13.T.C 13.U.V 13.U.V	2.0 1.5 0.8	0	1151	d ɔ̀ ɔ́
7408	PergeTegu	approach, come close	dɔ̀r+ɔ́+dɔ̀.ɔ́	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́	1 7 5 9 7 9 1 7 7	AXN_X_AXZ	TUR_U_TUU	13	13.T.C 13.U.V 13.R.c 13._._ 13.U.V 13._._ 13.T.C 13.U.V 13.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5 0.8	0	1142	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́
7409	TebulUre	approach, come close	dèn.d+í.íj+à	d è n d + íí j + à	1 7 4 1 9 7 6 9 7	AXLN_XN_X	TENT_IJ_A	14	14.T.C 14.E.V 14.N.c 14.T.c 14._._ 14.I.V 14.J.c 14._._ 14.A.V	2.0 1.5 1.1 0.8 0.0 1.5 0.8 0.0 1.5	0	1152	d è n d + íí j + à
7410	Tiranige	approach, come close	bér+á+n.d+íjó	b é r + á + n d + í j ó	1 7 5 9 7 9 4 1 9 7 6 7	AXN_X_AN_XBZ	PER_A_NT_IJU	15	15.P.C 15.E.V 15.R.c 15._._ 15.A.V 15._._ 15.N.C 15.T.c 15._._ 15.I.V 15.J.C 15.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 0.8 0.0 1.5 1.75 0.8	0	1145	b é r + á + n d + í j ó
7411	TogoKan	approach, come close	ɛ́ŋn+ɛ́	ɛ́ ŋ n + ɛ́	7 4 4 9 7	XLN_X	ENN_E	16	16.E.V 16.N.c 16.N.c 16._._ 16.E.V	1.5 1.1 0.8 0.0 1.5	0	1154	ɛ́ ŋ n + ɛ́
7412	TommoSoTongoTongo	approach, come close	dɔ̀.ɔ́	d ɔ̀ ɔ́	1 7 7	AXZ	TUU	17	17.T.C 17.U.V 17.U.V	2.0 1.5 0.8	1	1151	d ɔ̀ ɔ́
7413	TommoSoTongoTongo	approach, come close	dʒìŋ+ɛ́	d ʒ ì ŋ + ɛ́	1 3 7 4 9 7	ACXN_X	TSIN_E	17	17.T.C 17.S.C 17.I.V 17.N.c 17._._ 17.E.V	2.0 1.5 1.5 0.8 0.0 1.5	0	1164	d ʒ ì ŋ + ɛ́
7414	TommoSoTongoTongo	approach, come close	bɛ̀r+ɛ́+n.d+íjɛ́	b ɛ̀ r + ɛ́ + n d + í j ɛ́	1 7 5 9 7 9 4 1 9 7 6 7	AXN_X_AN_XBZ	PER_E_NT_IJE	17	17.P.C 17.E.V 17.R.c 17._._ 17.E.V 17._._ 17.N.C 17.T.c 17._._ 17.I.V 17.J.C 17.E.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 0.8 0.0 1.5 1.75 0.8	0	1145	b ɛ̀ r + ɛ́ + n d + í j ɛ́
7415	ToroTegu	approach, come close	bɛ́l+á	b ɛ́ l + á	1 7 5 9 7	AXN_X	PEL_A	18	18.P.C 18.E.V 18.L.c 18._._ 18.A.V	2.0 1.5 0.8 0.0 1.5	1	1156	b ɛ́ l + á
7416	YandaDom	approach, come close	d+ɔ́	d + ɔ́	1 9 7	A_X	T_U	19	19.T.C 19._._ 19.U.V	2.0 0.0 1.5	0	1157	d + ɔ́
7417	YornoSo	approach, come close	dɔ̀r+ɔ́+dɔ̀.ɔ́	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́	1 7 5 9 7 9 1 7 7	AXN_X_AXZ	TUR_U_TUU	20	20.T.C 20.U.V 20.R.c 20._._ 20.U.V 20._._ 20.T.C 20.U.V 20.U.V	2.0 1.5 0.8 0.0 1.5 0.0 2.0 1.5 0.8	0	1142	d ɔ̀ r + ɔ́ + d ɔ̀ ɔ́
#
1811	BankanTey	arm	nà.á	n à á	4 7 7	AXZ	NAA	1	1.N.C 1.A.V 1.A.V	2.0 1.5 0.8	1	1165	n à á
1812	BenTey	arm	nà.á	n à á	4 7 7	AXZ	NAA	2	2.N.C 2.A.V 2.A.V	2.0 1.5 0.8	1	1165	n à á
1813	Bunoge	arm	nú+mɛ̀	n ú + m ɛ̀	4 7 9 4 7	AX_AX	NY_ME	4	4.N.C 4.Y.V 4._._ 4.M.C 4.E.V	2.0 1.5 0.0 2.0 1.5	1	1168	n ú + m ɛ̀ -
1814	DogulDomBendiely	arm	nù+mɔ́	n ù + m ɔ́	4 7 9 4 7	AX_AX	NY_MU	5	5.N.C 5.Y.V 5._._ 5.M.C 5.U.V	2.0 1.5 0.0 2.0 1.5	1	1168	n ù + m ɔ́ -
1815	DonnoSo	arm	nù+mɔ́	n ù + m ɔ́	4 7 9 4 7	AX_AX	NY_MU	7	7.N.C 7.Y.V 7._._ 7.M.C 7.U.V	2.0 1.5 0.0 2.0 1.5	1	1168	n ù + m ɔ́ -
1816	JamsayDouentza	arm	nù+mó	n ù + m ó	4 7 9 4 7	AX_AX	NY_MU	8	8.N.C 8.Y.V 8._._ 8.M.C 8.U.V	2.0 1.5 0.0 2.0 1.5	1	1168	n ù + m ó -
1817	BonduSoNajamba	arm	nù+mà.á	n ù + m à á	4 7 9 4 7 7	AX_AXZ	NY_MAA	3	3.N.C 3.Y.V 3._._ 3.M.C 3.A.V 3.A.V	2.0 1.5 0.0 2.0 1.5 0.8	1	1168	n ù + m à á
1818	Nanga	arm	nà.á	n à á	4 7 7	AXZ	NAA	11	11.N.C 11.A.V 11.A.V	2.0 1.5 0.8	1	1165	n à á
1819	PergeTegu	arm	nùw.∼ó	n ù w ∼ ó	4 7 6 4 7	AXMBZ	NYW9U	13	13.N.C 13.Y.V 13.W.c 13.9.C 13.U.V	2.0 1.5 1.1 1.75 0.8	1	1173	n ù w ∼ ó
1820	TebulUre	arm	nù+mà.á	n ù + m à á	4 7 9 4 7 7	AX_AXZ	NY_MAA	14	14.N.C 14.Y.V 14._._ 14.M.C 14.A.V 14.A.V	2.0 1.5 0.0 2.0 1.5 0.8	1	1168	n ù + m à á
1823	TommoSoTongoTongo	arm	nù+mɔ́	n ù + m ɔ́	4 7 9 4 7	AX_AX	NY_MU	17	17.N.C 17.Y.V 17._._ 17.M.C 17.U.V	2.0 1.5 0.0 2.0 1.5	1	1168	n ù + m ɔ́ -
1824	ToroTegu	arm	lɔ́	l ɔ́	5 7	AX	LU	18	18.L.C 18.U.V	2.0 1.5	0	1176	l ɔ́
1825	YandaDom	arm	nù+mà	n ù + m à	4 7 9 4 7	AX_AX	NY_MA	19	19.N.C 19.Y.V 19._._ 19.M.C 19.A.V	2.0 1.5 0.0 2.0 1.5	1	1168	n ù + m à -
1826	YornoSo	arm	nɔ̌j~	n ɔ̌ j ~	4 7 6 0	AXLN	NUJ0	20	20.N.C 20.U.V 20.J.c 20.0.c	2.0 1.5 1.1 0.8	1	1178	n ɔ̌ j ~
#
1842	BankanTey	armpit, underarm (where infant is grabbed)	árkɛ́+n.dɛ̀	á r k ɛ́ + n d ɛ̀	7 5 1 7 9 4 1 7	XMBZ_ACZ	ARKE_NTE	1	1.A.V 1.R.c 1.K.C 1.E.V 1._._ 1.N.C 1.T.C 1.E.V	1.5 1.1 1.75 0.8 0.0 2.0 1.5 0.8	0	1179	á r k ɛ́ + n d ɛ̀
1843	BenTey	armpit, underarm (where infant is grabbed)	àrkɛ́+lɛ̀	à r k ɛ́ + l ɛ̀	7 5 1 7 9 5 7	XMBZ_AX	ARKE_LE	2	2.A.V 2.R.c 2.K.C 2.E.V 2._._ 2.L.C 2.E.V	1.5 1.1 1.75 0.8 0.0 2.0 1.5	0	1179	à r k ɛ́ + l - ɛ̀
1844	DogulDomBendiely	armpit, underarm (where infant is grabbed)	kárà+kàrà	k á r à + k à r à	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	5	5.K.C 5.A.V 5.R.C 5.A.V 5._._ 5.K.C 5.A.V 5.R.C 5.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	1182	k á r à + k à r à - - - - - -
1845	DogulDomKundialang	armpit, underarm (where infant is grabbed)	kárà+kàrà	k á r à + k à r à	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	6	6.K.C 6.A.V 6.R.C 6.A.V 6._._ 6.K.C 6.A.V 6.R.C 6.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	1182	k á r à + k à r à - - - - - -
1846	DonnoSo	armpit, underarm (where infant is grabbed)	nùmɔ̀+kárù+kàrù	n ù m ɔ̀ + k á r ù + k à r ù	4 7 4 7 9 1 7 5 7 9 1 7 5 7	AXBZ_AXBZ_AXBZ	NYMU_KARY_KARY	7	7.N.C 7.Y.V 7.M.C 7.U.V 7._._ 7.K.C 7.A.V 7.R.C 7.Y.V 7._._ 7.K.C 7.A.V 7.R.C 7.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	1184	n ù m ɔ̀ + k á r ù + k à r ù
1847	JamsayGourou	armpit, underarm (where infant is grabbed)	kìkà+rá	k ì k à + r á	1 7 1 7 9 5 7	AXBZ_AX	KIKA_RA	9	9.K.C 9.I.V 9.K.C 9.A.V 9._._ 9.R.C 9.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k ì k à + r á - - - - -
1848	JamsayDouentza	armpit, underarm (where infant is grabbed)	kìkà+rá	k ì k à + r á	1 7 1 7 9 5 7	AXBZ_AX	KIKA_RA	8	8.K.C 8.I.V 8.K.C 8.A.V 8._._ 8.R.C 8.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k ì k à + r á - - - - -
1849	Mombo	armpit, underarm (where infant is grabbed)	kárá+kárá+sú+ɡù	k á r á + k á r á + s ú + ɡ ù	1 7 5 7 9 1 7 5 7 9 3 7 9 1 7	AXBZ_AXBZ_AX_AX	KARA_KARA_SY_KY	10	10.K.C 10.A.V 10.R.C 10.A.V 10._._ 10.K.C 10.A.V 10.R.C 10.A.V 10._._ 10.S.C 10.Y.V 10._._ 10.K.C 10.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5	0	1182	k á r á + k á r á + s ú + ɡ ù
1850	Mombo	armpit, underarm (where infant is grabbed)	kárá+kárá	k á r á + k á r á	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	10	10.K.C 10.A.V 10.R.C 10.A.V 10._._ 10.K.C 10.A.V 10.R.C 10.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	1182	k á r á + k á r á - - - - - -
1851	BonduSoNajamba	armpit, underarm (where infant is grabbed)	kàkà+rá.àkù+l	k à k à + r á à k ù + l	1 7 1 7 9 5 7 7 1 7 9 5	AXBZ_AXYBZ_A	KAKA_RAAKY_L	3	3.K.C 3.A.V 3.K.C 3.A.V 3._._ 3.R.C 3.A.V 3.A.V 3.K.C 3.Y.V 3._._ 3.L.C	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.3 1.75 0.8 0.0 2.0	0	1181	k à k à + r á à k ù + l
1852	Nanga	armpit, underarm (where infant is grabbed)	ɛ̀rɛ̀kɛ̀+n.dɛ̂	ɛ̀ r ɛ̀ k ɛ̀ + n d ɛ̂	7 5 7 1 7 9 4 1 7	XBYBZ_ACZ	EREKE_NTE	11	11.E.V 11.R.C 11.E.V 11.K.C 11.E.V 11._._ 11.N.C 11.T.C 11.E.V	1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 0.8	0	1188	ɛ̀ r ɛ̀ k ɛ̀ + n d ɛ̂
1853	Nanga	armpit, underarm (where infant is grabbed)	ɛ̀rɛ̀ɡɛ̀+n.dɛ̂	ɛ̀ r ɛ̀ ɡ ɛ̀ + n d ɛ̂	7 5 7 1 7 9 4 1 7	XBYBZ_ACZ	EREKE_NTE	11	11.E.V 11.R.C 11.E.V 11.K.C 11.E.V 11._._ 11.N.C 11.T.C 11.E.V	1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 0.8	0	1188	ɛ̀ r ɛ̀ ɡ ɛ̀ + n d ɛ̂
1854	Penange	armpit, underarm (where infant is grabbed)	kàrà+kàrà	k à r à + k à r à	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	12	12.K.C 12.A.V 12.R.C 12.A.V 12._._ 12.K.C 12.A.V 12.R.C 12.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	1182	k à r à + k à r à - - - - - -
1855	Penange	armpit, underarm (where infant is grabbed)	kàrà+kàrà+sú+ɡù	k à r à + k à r à + s ú + ɡ ù	1 7 5 7 9 1 7 5 7 9 3 7 9 1 7	AXBZ_AXBZ_AX_AX	KARA_KARA_SY_KY	12	12.K.C 12.A.V 12.R.C 12.A.V 12._._ 12.K.C 12.A.V 12.R.C 12.A.V 12._._ 12.S.C 12.Y.V 12._._ 12.K.C 12.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.0 2.0 1.5	0	1182	k à r à + k à r à + s ú + ɡ ù
1856	PergeTegu	armpit, underarm (where infant is grabbed)	kàkà+rá	k à k à + r á	1 7 1 7 9 5 7	AXBZ_AX	KAKA_RA	13	13.K.C 13.A.V 13.K.C 13.A.V 13._._ 13.R.C 13.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k à k à + r á - - - - -
1857	TebulUre	armpit, underarm (where infant is grabbed)	kàkà+rá	k à k à + r á	1 7 1 7 9 5 7	AXBZ_AX	KAKA_RA	14	14.K.C 14.A.V 14.K.C 14.A.V 14._._ 14.R.C 14.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k à k à + r á - - - - -
1858	Tiranige	armpit, underarm (where infant is grabbed)	kàrà+kàrà	k à r à + k à r à	1 7 5 7 9 1 7 5 7	AXBZ_AXBZ	KARA_KARA	15	15.K.C 15.A.V 15.R.C 15.A.V 15._._ 15.K.C 15.A.V 15.R.C 15.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	0	1182	k à r à + k à r à - - - - - -
1859	TogoKan	armpit, underarm (where infant is grabbed)	kàkà+rá	k à k à + r á	1 7 1 7 9 5 7	AXBZ_AX	KAKA_RA	16	16.K.C 16.A.V 16.K.C 16.A.V 16._._ 16.R.C 16.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k à k à + r á - - - - -
1860	TommoSoTongoTongo	armpit, underarm (where infant is grabbed)	káká+rú	k á k á + r ú	1 7 1 7 9 5 7	AXBZ_AX	KAKA_RY	17	17.K.C 17.A.V 17.K.C 17.A.V 17._._ 17.R.C 17.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k á k á + r ú - - - - -
1863	ToroTegu	armpit, underarm (where infant is grabbed)	ìrkí+lá	ì r k í + l á	7 5 1 7 9 5 7	XMBZ_AX	IRKI_LA	18	18.I.V 18.R.c 18.K.C 18.I.V 18._._ 18.L.C 18.A.V	1.5 1.1 1.75 0.8 0.0 2.0 1.5	0	1195	ì r k í + l á
1864	YandaDom	armpit, underarm (where infant is grabbed)	kàɡá+dà	k à ɡ á + d à	1 7 1 7 9 1 7	AXBZ_AX	KAKA_TA	19	19.K.C 19.A.V 19.K.C 19.A.V 19._._ 19.T.C 19.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k à ɡ á + d à - - - - -
1865	YandaDom	armpit, underarm (where infant is grabbed)	kàká+dà	k à k á + d à	1 7 1 7 9 1 7	AXBZ_AX	KAKA_TA	19	19.K.C 19.A.V 19.K.C 19.A.V 19._._ 19.T.C 19.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k à k á + d à - - - - -
1866	YornoSo	armpit, underarm (where infant is grabbed)	kíká+rú	k í k á + r ú	1 7 1 7 9 5 7	AXBZ_AX	KIKA_RY	20	20.K.C 20.I.V 20.K.C 20.A.V 20._._ 20.R.C 20.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	0	1181	k í k á + r ú - - - - -
#
14877	BankanTey	arrive at, reach	d+ɔ́	d + ɔ́	1 9 7	A_X	T_U	1	1.T.C 1._._ 1.U.V	2.0 0.0 1.5	0	1196	d + ɔ́
14878	BenTey	arrive at, reach	d+ɔ̌	d + ɔ̌	1 9 7	A_X	T_U	2	2.T.C 2._._ 2.U.V	2.0 0.0 1.5	0	1196	d + ɔ̌
14879	Bunoge	arrive at, reach	dín+nɛ̀	d í n + n ɛ̀	1 7 4 9 4 7	AXN_AX	TIN_NE	4	4.T.C 4.I.V 4.N.c 4._._ 4.N.C 4.E.V	2.0 1.5 0.8 0.0 2.0 1.5	0	1199	d í n + n ɛ̀ -
14880	DogulDomBendiely	arrive at, reach	dè+é	d è + é	1 7 9 7	AX_X	TE_E	5	5.T.C 5.E.V 5._._ 5.E.V	2.0 1.5 0.0 1.5	0	1200	d è - + é
14881	DogulDomKundialang	arrive at, reach	dɛ̀.ɛ́	d ɛ̀ ɛ́	1 7 7	AXZ	TEE	6	6.T.C 6.E.V 6.E.V	2.0 1.5 0.8	0	1200	d ɛ̀ ɛ́ - -
14882	DonnoSo	arrive at, reach	dɔ́ɛ̀	d ɔ́ɛ̀	1 7	AX	TU	7	7.T.C 7.U.V	2.0 1.5	0	1202	d ɔ́ɛ̀ -
14883	JamsayGourou	arrive at, reach	dɔ́.ɔ́	d ɔ́ɔ́	1 7	AX	TU	9	9.T.C 9.U.V	2.0 1.5	0	1202	d ɔ́ɔ́ -
14884	JamsayDouentza	arrive at, reach	dɔ̀.ɔ́	d ɔ̀ ɔ́	1 7 7	AXZ	TUU	8	8.T.C 8.U.V 8.U.V	2.0 1.5 0.8	0	1202	d ɔ̀ ɔ́
14885	Mombo	arrive at, reach	dín+jɛ́.ɛ̀	d í n + j ɛ́ ɛ̀	1 7 4 9 6 7 7	AXN_AXZ	TIN_JEE	10	10.T.C 10.I.V 10.N.c 10._._ 10.J.C 10.E.V 10.E.V	2.0 1.5 0.8 0.0 2.0 1.5 0.8	1	1199	d í n + j ɛ́ ɛ̀
14886	BonduSoNajamba	arrive at, reach	dw+ɛ̀.ɛ̀	d w + ɛ̀ɛ̀	1 6 9 7	AC_X	TW_E	3	3.T.C 3.W.C 3._._ 3.E.V	2.0 1.5 0.0 1.5	0	1198	d w + ɛ̀ɛ̀
14887	Nanga	arrive at, reach	dɔ̀.ɔ́	d ɔ̀ ɔ́	1 7 7	AXZ	TUU	11	11.T.C 11.U.V 11.U.V	2.0 1.5 0.8	0	1202	d ɔ̀ ɔ́
