code (Eng),subcode (Eng),code (fr),sous-code (fr),code #,subcode #,subsubcode #,short,court,ref#,jpg,video,date,comment,English,français,core,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,Jamsay (alphabet),"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia),,,,,,,,,,,,,,,,
part (plant),root,partie (plante),racine,15.0,2.0,2.0,tuber,tubercule,868.0,,,old,,root tuber,tubercule,2.0,tàrú,,,,,,,,,,,xxx,,,,wélú,,kásò,,,,,,,,,,,,,,,,,,,,,,,,
part (plant),root,partie (plante),racine,15.0,2.0,3.0,root,racine,869.0,get,,old,,water lily root (rhizome),racome (pomme) de nénuphar,2.0,kùrⁿí,kùrⁿù-yî:,kùmìrⁿá,kùnì-ǹjâ,kùlú,kun,kǔn,kùrⁿú,,kǔn,,kǔl,,,,kùùlú,,,,kùn,,,,,,,,,,,,,,,,,,,,,,
part (plant),root,partie (plante),racine,15.0,2.0,4.0,taproot,racine,870.0,get,,old,,long carrot-like taproot of certain plants,longue racine en forme de carotte de certaines plantes,3.0,,,,,,,,,,,,wèl àrⁿá,,,,sàà sólíyó,,,,,dúgúlà:\\dúgùlɛ̀:,,,,,,,,,,,,,,,,,,,,,
part (plant),root,partie (plante),racine,15.0,2.0,5.0,take root,s'enraciner,871.0,,,old,,"(e.g. transplanted plant or tree) take root, put down roots","(plante transplantée, arbre, etc.) s'enraciner, pousser des racines",2.0,lɔ́\\lɔ́,wé:rí sílé,,"wè:rí sí:-ndé, dǐ:yí",,bɔrɔcenkuno,bɔ̀rɔ̀-cé:ŋ kúnó,ké:ŋgú kúló,,,bɔ̀rɔ̀-dí: kúǹ,wél kúnɔ́,,,,wélú kúndó,,,,dǐl kún-dó,wòlé pújí\\pùjè,,kágí gó:mì,,,,,,,,,,,,,,,,,,,
part (plant),root,partie (plante),racine,15.0,2.0,6.0,take root,s'enraciner,872.0,,,old,,"(e.g. onion, peanut, etc.) begin to grow (underground)","(onion, arachide, etc.) commencer à se développer (sous la terre)",2.0,bìsú\\bìsá,"bìrⁿí sílé, bìrⁿí gǎyⁿ",,,,bɔrɔsɔwɔ,bɔ̀rɔ́ sɔ́wɔ́,ké:ŋgú sɔ́:,,,bɔ̀rɔ̀-dí: nɔ́ŋɔ́,sɔ́bɔ́-\\sɔ́bɔ́,,,,"íí kúndó, póó-ndó, íí súgó-ndó",,,,"sém gó, púzó\\púzó-lì",súgɛ́,súgɔ́,kágí gó:mì,,,,,,,,,,,,,,,,,,,
part (plant),root,partie (plante),racine,15.0,2.0,7.0,root,racine,8991.0,get,,2010.06,,aerial root (of fig trees),racines aériennes (des figuiers),2.0,,,,,,,bɔ̀rɔ̀-cé:ŋ,,,,,,,,,wèlì dánná=nɛ́ wɔ̀,,,,,,,,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,1.0,stem,tige,873.0,,,old,,"stem, stalk",tige,1.0,cècèrú,kɔ̀ŋgɔ̀rɔ́ ~ kɔ̀ŋɔ̀rɔ́,kɔ̀ŋgùrɔ́,sɔ́gɔ̂,"kèrú, kíndɛ̀ (central stem)","ceru,ciceru","cè:rú, cì-cè:rú",kì-kèrú,kè:rú,cè:rú,kèrú,kèrú,cèrì,xxx,xxx,"kùgɔ̀lú, kèrù tànnàà-ý",kɔ̀glú,"kɔ̀gùlú, bèyég",cèrgó,kàdù,sìmbá-ŋgó\\sìmbá,kɔ̀jì,kójí,,kógálì,"wày (thin stem), kɔ̀gɛ̀lɛ̀ (thick, e.g. of millet)",,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,2.0,"leaf, stem","feuille, tige",874.0,,,old,,"leaves of stem (millet, sorghum, corn)","feuilles de la tige (mil, sorgho, maïs)",3.0,cèkèrú kɔ̀tɔ̀,kɔ̀ŋɔ̀rɔ̀-jɛ̀lɛ̂:,,sɔ̀gɔ̀-úwâ,,cerukurɔ,cè:rù-kúrɔ́,[kì-kèrù]-kúrɔ́,,,kèrù-kúrɔ́,,,,,"núyɔ́, kàmbàráá",,kɔ̀gùlù kòmbò-kómbó,,,sìmbá-ŋgó kòmbà-ŋgò\\sìmbá kòmbà,,kúbɛ̀,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,3.0,"leaf, stem","feuille, tige",875.0,,,old,,dry stem and leaves of millet (fodder for animals),tige et feuilles sèches de mil (fourrage des animaux),2.0,,kɔ̀ŋɔ̀rɔ̀-bèrú,kɔ̀ŋgùrɔ́,sɔ̀gɔ̀-bèrí,,kikɔru,kí-kɔ́rù,,,,kèrù-ɔ́:rɔ́,yù:-běl,,,,kùgɔ̀lú,,,,kɔ̀gɔ̀,sìmbà bèlé,,kójí,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,4.0,"protrusion, knot","protrusion, nœud",876.0,get,,old,,"protrusion, knot (on stem of plant)","protubérance, nœud (sur la tige d'une plante)",2.0,zé-zéwró,jí-jéwré,tìŋgírì,tèŋgé,nɛ́ŋɛ̀,jerewe,jéréwé,jé-jéwré,,,,pɛ́ŋɛ̀,,,,pɛ́ŋɛ́,,pélégé,,,gúgùlù:\\gúgùlì:,,dígélé,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,5.0,stem,tige,877.0,,,old,,"hard outer layer of stem (millet, sorghum, corn)","couche extérieure dure de tige (mil, sorgho, maïs)",2.0,sìrkú,kɔ̀ŋgɔ̀rɔ̀ sí:rⁿɛ̀,kɔ̀ŋgùrɔ̀ túndù,sɔ̀gɔ̀-kìrⁿá,,"kikow,kukow","kì-kǒw, kù-kǒw",kò-kǒm,,kǒw,kèrù-kó:ɲó,xxx,,,,kùgɔ̀lù bàmmà-ý,,,,kàdù-cílè,sìmbá-ŋgó kògò:\\sìmbá kògè:,,kòmbòlí,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,6.0,remove layer,enlever couche,878.0,,get,old,,remove the hard outer layer of stem,enlever la couche extérieure dure de la tige,2.0,sírkú\\sírkó,sí:rⁿí,,sí:rⁿí,,cire,cí:ré,ší:né,,,kèrú kí:rì\\kí:ré,kí:lé-\\kí:l,,,,kíílé,,,,cíl-lé\\cíl-lé-lì,sí:l\\sì:lè,,kómbólè,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,7.0,stem,tige,879.0,,,old,,"soft inner layer of stem (of millet, sorghum, corn, etc., often sucked after outer layer is removed)","couche molle intérieure des tiges (de mil, de sorgho, de maïs, etc., souvent croquée quand la couche extérieure est enlevée)",2.0,bá:lèy,kɔ̀ŋgɔ̀rɔ̀ cɛ́lɛ̀,kɔ̀ŋgùrɔ̀ píré,sɔ̀gɔ̀-kɛ́ndɛ̀,,cerucɛnɛ,cè:rù cɛ́nɛ̀,[kì-kèrù]-kɛ́lɛ̀,,,kèrù-pùrⁿú,kèrù-sî:,,,,"kùgɔ̀lù kìndɛ̀-ý, gínjɛ́\\dínjɛ́",,,,kàdù-cíndá,sìmbá-ŋgó kèndà:\\sìmbá kɛ̀ndɛ̀:,,sìlé,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,8.0,"segment, stem","segment, tige",880.0,get,,old,,segment (of grass stem),segment (de tige de poacée),1.0,célè,tìŋgírɛ̀y,tìŋgírì,tèŋgé,pɛ́ŋɛ̀,teŋe,tèŋé,tèŋgé,,,kèrù-pɛ́:ŋɛ́,pɛ́ŋɛ̀,mùŋù,xxx,,pɛ́ŋɛ́,pɛ́ŋɛ̀:,,tìŋgá,pèŋ,tɔ́bɔ̀:\\tɔ́bɛ̀:,"dìgí (""joint"")",,,,dúgɛ́lɛ̀,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,9.0,shoot (palm),pousse,881.0,,,old,,stem of young shoot of doum palm (used for cordage),tige de jeune pousse du palmier doum (utilisé pour les cordes),2.0,,,,,,,,,,,,xxx,,,,nɛ̀mmɛ́,,,,,èmbù-kéndà:\\èmbì-kɛ́ndɛ̀:,,,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,9.4,shoot (tree),pousse,8304.0,,,2010.06,,young shoot of baobab tree,pousse de baobab,3.0,,,,,,,,,,,,,,,,ɔ̀rɔ̀ tì-tíyⁿɛ́,,,,ɔ̀dí-yè,,,ɔ̀rɔ̀ wé:,,,,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,10.0,stem,tige,882.0,,,old,,(e.g. millet) grow (a stem),(mil etc.) développer (une tige),1.0,,tɔ́,gǎm,tèŋgé bàrá,,kujɔ,kújɔ́,tèŋgé kúló,,,,kèrú kúnɔ́-\\kúnú,,,,pɛ́ŋɛ́ dàgá,,,,kàdù kún-dó,kújí-yɛ́,,,,kógálì kánì,kɔ̀gɛ̀lɛ̀ kán,,,,,,,,,,,,,,,,
part (plant),stem,partie (plante),tige,15.0,3.0,11.0,trunk,tronc,8647.0,get,,2010.06,,trunk (of tree),tronc (d'arbre),2.0,dùtú,tìwⁿɛ̀yⁿ-bìrⁿú,,tùmà-dúmbó,,tiwⁿebɔrɔ,tìwⁿè-bɔ̀rɔ́,,,,,,,,,tìmɛ̀ dúmɔ́,,dúndùŋ,tìmà:-bé:,bàmú,,tílŋgɔ́ dùŋɔ́,tíníŋgɔ̀ ní:,,tìlìŋgé-bùgúndè,dúndú,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,1.0,tree bark,écorce,883.0,get,,old,basic,tree bark,écorce,1.0,"kǒw, tìwⁿá kôw","kù-kòmbî: ~ kì-kòmbî:, kòmbî:","tùndú, kò-kòmbû:","tùmà-pô:, tùmà-[kò-kòmbí]",kòmbě:,jey,"jêy, jǎyⁿ",gɛ̂:ⁿ,zǎyⁿ,kǒw,kòkǒ:,,kú,xxx,,"jóyⁿ, kó-kóbú",kòmnú,kìŋìnɔ̀ kɔ̀mùnú,kóbé,tìmè-sábú,,kóy,kòmbòlí,òwá (òwá gè),"kòbàlì, tìlìŋgé-kòbálì",témbú,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,1.5,tree bark,écorce,8461.0,,,2010.06,,stripped-off tree bark,écorce enlevée d'un arbre,3.0,,,,,,,,,,,,,,,,,,,,,,,kòmbòlí,,,,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,2.0,tree bark,écorce,884.0,,,old,,outer layer of tree bark or millet stem,couche extérieure d'écorce ou de tige de mil,2.0,kǒw,kòmbî:,kò-kómbû:,kò-kòmbí ~ kò-kǒm,,"kikow,kukow","kì-kǒw, kù-kǒw",,,,,kòbìlì-ý,,,,kùgɔ̀lù bàmmà-ý,,,,,kògô:\\kògê:,,,,,,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,3.0,tree bark,écorce,885.0,,,old,,dry outer bark of tree,écorce extérieure sèche d'arbre,2.0,,kòmbî:,,kò-kòmbí,,"kikow,kukow","kì-kǒw, kù-kǒw",,,,,kú-kóbú,,,,kóbú,,,,,kòmǐl-ŋgó\\kòmìlé,,,,,,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,4.0,tree bark,écorce,886.0,get,,old,,green inner layer of tree bark,couche intérieure verte d'écorce,2.0,pòmú,jɔ̂yⁿ,,,,jey,jêy,,,,tìmɛ̀-jǎ,jôy,,,,jóyⁿ,,,,,jòbǒ:\\jòbě:,,,,,,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,5.0,baobab bark,écorce de baobab,887.0,,,old,,baobab bark,écorce de baobab,3.0,ɔ̀rɔ́ pɔ̀rù,ɔ̀sɔ̀rɔ́ jɔ̌yⁿ,ɔ̀sɔ̀rɔ̀-[kò-kómbû:],ɔ̀sɔ̀rɔ̀-ɔ̀gɔ́,,ɔrɔjayⁿ,ɔ̀rɔ̀-jǎyⁿ,,,,ɔ̀rɔ̀-kòkǒ:,ɔ̀rɔ̀-jôy,,,,ɔ̀rɔ̀ ǹjǎy,,,,,,,ɔ̀rɔ̀ kòmbórì ɔ̀rɔ̀ ɔ́bɔ́ (ɔ́bɔ̀),,,,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,6.0,fiber,fibre,888.0,get,,old,,fiber (of tree bark),fibre (d'écorce),1.0,pɔ̀rú,ɔ᷈:,ɔ̀wɔ̂:,"ɔ̀gɔ̂, tùmà-ɔ̀gɔ̂",jǎy,jayⁿ,jǎyⁿ,,,,,"jôy, yórù",jɛ́,xxx,,yòòrú,ɛ́nɔ̀:,,òpá: ~ àpó:,"ɔ̀bà, zǎy",bá:jí-ŋgó\\bá:jí:,,,,,,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,6.3,"bark, fiber","écorce, fibre",8299.0,,,2010.06,,"fibrous bark of certain trees (baobab, wild grape, Grewia bicolor, Pilostigma reticulatum, A) used in making ropes","écorce fibreuse de certains arbres (baobab, raisin sauvage, Grewia bicolor, Pilostigma reticulatum) utilisée dans la fabrication des cordes",1.0,pɔ̀rú,ɔ᷈:,,ɔ̀gɔ́,,jayⁿ,jǎyⁿ,,,,,,,,,yòòrú,,,,ɔ̀bà,,,ɔ́bɔ̀,,ʔóbà,òbà (y-),,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,7.0,fiber,fibre,889.0,get,,old,,fiber of roselle stem (for rope or burlap),fibre de tige de dah (pour les cordes ou la toile),2.0,,ènjî: kɔ̀rɔ̀y,xxx,dɔ̀:rⁿì-ɔ̀gɔ́,,aɲujayⁿ,àɲù-jǎyⁿ,kúrò,,,jǎ,ámɲɛ́,,,,,,,,"kúló, ɔ̀bà",ànjè-bá:jí:,,,,ʔóbà,òbà (y-),,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,8.0,gall,galle,890.0,get,,old,,insect gall or other bulge on tree,galle d'insecte ou autre protubérance sur un arbre,2.0,,kúmɲó:rè,,kúmjí,,kogo,kògó,kókò,,,,bɛ̀ŋèlè-ý [xxx vocalism],,,,"bɔ̀ŋgɔ́, béndé",,,bóŋgó,pèjíyè,kògô:\\kògê:,,mùŋgùlé,,,,,,,,,,,,,,,,,,,
part (plant),bark,partie (plante),écorce,15.0,4.0,9.0,scale,écaille,891.0,yes,,old,,scales on tree bark,écailles d'écorce,2.0,kòŋó,tìwⁿɛ̀yⁿ-kɛ̂:,,tùmà-kɛ̂:,,kikow,kì-kǒw,kɛ̂:,,,,kógó,,,,"kɛ́bɛ́dɛ́, kóbú",,,tìmà:-[kóbú-gó],,,,,,,,,,,,,,,,,,,,,,,
part (plant),gum arabic,partie (plante),gomme arabique,15.0,5.0,1.0,gum arabic,gomme arabique,892.0,yes,,old,,gum arabic (resin from certain trees),gomme arabique (résine de certains arbres),1.0,mòlú,"dákkɛ̀, sɛ̀mgɛ̀-mùrⁿú",délì,mɔ̀rⁿí,,mun,mǔn,mùrⁿú,mǔn,,mɔ̌,mɔ̀-ýⁿ,,xxx,xxx,"móy, ìyɛ́",dáccɛ̀,dácɛ̀,,,àrbàkàndú-ŋgó\\àrbàkàndé,,,,sɔ́:lì,dè:l,,,,,,,,,,,,,,,,
part (plant),gum arabic,partie (plante),gomme arabique,15.0,5.0,2.0,"gum, resin","gomme, résine",893.0,,,old,,"gum, resin (of any tree)","gomme, résine (de tout arbre)",1.0,mòlú,"dákkɛ̀, mùrⁿú",délì,mɔ̀rⁿí,"yǎ:, tìmmɛ́ yà:",mun,mǔn,mùrⁿú,,mǔn,mɔ̌,mɔ̀-ýⁿ,cùmà-jàwⁿ,,,"móy, ìyɛ́",dáccɛ̀,dácɛ̀,"tìmà:-yàŋgá, mòn-gó (pl mòné:, from karité tree)","tìmè yáŋ, tìmè-yàŋ",ɲâ:-ŋgò\\ɲâ:,dàké ~ dàcé\\dàkè-gé,wɔ̂:,,tìlìŋgé sɔ̌:lì,dè:l,,,,,,,,,,,,,,,,
part (plant),gum arabic,partie (plante),gomme arabique,15.0,5.0,3.0,rock gum,gomme de pierre,894.0,get,,old,,"rock gum, gum-like substance on underside of rocks (remedy for white-spot eye disease or for chronic headache, rare but occasionally found in the hot season)","gomme de pierre, substance en forme de gomme sur la surface inférieure des pierres (soigne la maladie des yeux à taches blanches, ou les maux de tête chronique, rare mais parfoid trouvable pendant la saison chaude)",2.0,,,,"dà:-mɔ̀rⁿí, kùrⁿù-mɔ̀rⁿí",,,,tùwò-mùrⁿú,,,,,,,,dùmbɔ̀ ìyɛ́,,,,tàbà yáŋ,kìnû: ɲà:-ŋgò,,,,,,,,,,,,,,,,,,,,,
part (plant),branch,partie (plante),branche,15.0,6.0,1.0,branch,branche,895.0,,,old,,branch (of tree),branche (d'arbre),1.0,lɔ́,"[tìwⁿɛ̀yⁿ]-nà:-sî:ⁿ, nà:-sî:ⁿ",tìmèyⁿ-nâ:,nà:-bàrⁿá,"nùmɛ̀-ý (small branch), bôŋ (large branch), sóŋgò (Combreturm brush, for fencing)",numoiⁿ,nùmò-î:ⁿ,nùwⁿò-sî:ⁿ,,,tìmɛ̀-nùmɔ́,tɛ̀wⁿɛ̀-[nǒyⁿ],,,,"tìmɛ̀ bòŋì-ý, bóŋú","sóŋgò (dry branch), bô:-ŋ (bô:ⁿ), óllù-ŋ̀ (óllù yà:)",óllùŋ,,nùmà,ǎ:-gò\\ǎè,à:ŋgó,nɔ̌y // nǒy wè:,,gúbà,gùbɛ̀,,,,,,,,,,,,,,,,
part (plant),branch,partie (plante),branche,15.0,6.0,2.0,branch,branche,896.0,get,,old,,"(plant) branch out, ramify",(plante) se ramifier,1.0,náŋú\\náŋá,jàwⁿyⁿí,zàŋgí,"jǎŋmí, jàŋímí",táⁿyy-ɛ̀:-\\táⁿyy-ì,jaŋawⁿa,jàŋàwⁿá,"góm gòmó, jáŋ jàŋwⁿá",,,dɔ̀gɔ́,jàwá-\\jàwú,,,,"jàwá, wàná",wàné,,wàrⁿá (wàrⁿ-â:-),wǎn\\wàrⁿà-lí,wídínɛ́,,nɔ̀ywé nɔ́ywè // nɔ̀yɛ́ nɔ́yɛ̀,,gúbá-gè kánì,gùbɛ̀-gè táyndè,,,,,,,,,,,,,,,,
part (plant),branch,partie (plante),branche,15.0,6.0,3.0,branch,branche,897.0,,,old,,"well-branched, much ramified (tree) (intensifier)","très ramifié, à beaucoup de branches (arbre) (intensif)",2.0,,ísásá,,ísásâ:,,,"dîw→, díyàw→","dígàw→, díw∴",,,,sù:-sà:,,,,dìbú-ni,,,,dì:-dà:,dîw→,,kùbɛ̀ kúbɛ́,,,,,,,,,,,,,,,,,,,
part (plant),branch,partie (plante),branche,15.0,6.0,4.0,branch,branche,898.0,get,,old,,"offshoot, side branch with its own grain spike (coming off the central stem of e.g. a millet plant)",branche latérale avec son épi (se séparant de la tige centrale d'un pied de mil etc.),1.0,yù zèŋá,yù:-lɛ́gɛ̀,yù:-bízà,yù:-jíŋâ,nɛ́ŋɛ̀,ɲunɛŋɛ,ɲù:-nɛ́ŋɛ̀,sìrì-kɔ̀rɔ́,,,,nɛ́ŋɛ̀,,,,,nɛ́ŋɛ̀,,yù-zɛ́ŋgɛ́,zèŋé,jíŋɛ̀-ŋgò\\jíŋɛ̀,,,,xxx,jàŋgùl,,,,,,,,,,,,,,,,
part (plant),branch,partie (plante),branche,15.0,6.0,5.0,branch,branche,899.0,get,,old,,"flexible branch of certain lianas (Saba, Leptadenia), used as a cord for tying up bundles","branche souple de certaines lianes (zaban, Leptadenia), utilisée comme corde pour attacher les fagots",1.0,wòrú,ɔ᷈:,ɔ̀wɔ̂:,kà-kànjá,jǎy,"jayⁿ,sisɔl","jǎyⁿ, sì-sɔ̌l (""whip"")",,,,jǎ,kà:m-níŋù,,,,nónnóm,xxx,,òpá: ~ àpó:,,òbâ:\\ɔ̀bɛ̂:,,nóndó:ⁿ,,xxx,wàjì,,,,,,,,,,,,,,,,
part (plant),branch,partie (plante),branche,15.0,6.0,6.0,"extend, liana","étendre, liane",9152.0,,,2010.08,,(liana) extend outward in the upper reaches of a tree or bower,(liane) s'étendre dans la partie supérieure d'un arbre,3.0,,,,,,,,,,,,wìríd-ɛ́:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,1.0,leaf,feuille,900.0,,,old,basic,leaf (of plant),feuille (de plante),1.0,kɔ̀tɔ́,"jɛ̀lɛ̂:, jɛ̀lɛ̂y, jì-jɛ̀lɛ̂:, jì-jɛ̀lɛ̂y",jɛ̀ndɛ̂: ~ gɛ̀ndɛ̂:,úwâ,núŋɔ̀,kurɔ,kúrɔ́,kúrɔ́,kúrɔ́,,kúrɔ́,lɛ̂:,kɔ̀w,xxx,xxx,núyɔ́,kîl,"kómbò, kíl",kúlá,kùlà,kòmbá-ŋgó\\kòmbá,kómbá,kúbɛ̀,kòwá (kòwá gè),kóbà,kɔ̀bɛ̀,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,2.0,tree leaf,feuille d'arbre,901.0,,,old,,tree leaf,feuille d'arbre,2.0,tìwⁿá kɔ̀tɔ̀,tìwⁿɛ̀yⁿ-jɛ̀lɛ̂:,tùmèyⁿ-jɛ̀ndɛ̂:,tùmà-úwâ,,tiwⁿɛkurɔ,tìwⁿɛ̀-kúrɔ́,tìwⁿɛ̀-kúrɔ́,,,tìmɛ̀-kúrɔ́,tɛ̀wⁿɛ̀-lɛ̂:,cùmà-kɔ̀w,,,núyɔ́,,"kómbò, kíl",,tìmè-kùlà,tìmɔ̂: kòmbà-ŋgò,,tìnìŋgɔ̀ kúbɛ́,,tìlìŋgé-kòbà,tìndìgɔ̀-kɔ́bɛ̀,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,3.0,baobab,baobab,902.0,,,old,,baobab leaves (for green sauce),feuilles de baobab (pour la sauce verte),2.0,ɔ̀rɔ́ kɔ̀tɔ̀,ɔ̀sɔ̀rɔ̀-jɛ̀lɛ̂:,ɔ̀sɔ̀rɔ̀-jɛ̀ndɛ̂:,"ɔ̀sɔ̀rɔ́, ɔ̀sɔ̀rɔ̀-úwâ",,ɔrɔkurɔ,ɔ̀rɔ̀-kúrɔ́,ɔ̀rɔ̀-kúrɔ́,,,ɔ̀rɔ̀-kúrɔ́,ɔ̀rɔ̀-lɛ̂:,ɔ̀rɔ̀-kɔ̀w,,,ɔ̀rɔ̀ núyɔ́,,"ɔ̀rɔ̀ kíl, ɔ̀rɔ̀ kómbò",,ɔ̀dɔ̀-kùlà,ɔ̀rɔ̀-kòmbá,,ɔ̀rɔ̀ kúbɛ́,,,,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,4.0,leaf,feuille,903.0,,,old,,"edible leaves cooked with light condiments (some Brassicaceae, Senna obtusifolia)","feuilles comestibles cuites avec des condiments légers (certaines brassicacées, Senna obtusifolia)",1.0,lùwɔ́,bìyâ:,bìyâ:,,,luwɔ,lùwɔ́,lùwɔ́,,,lùwɔ́,lùbɔ́,,,,bílɛ́,,bɛ̀lɛ́,,bèlà,bèlâ:\\bɛ̀lɛ̂:,bélá,,,,,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,5.0,leaf,feuille,904.0,,,old,,"cooked leaves (of certain trees and vines), rolled up with millet and condiments","feuilles cuites (de ce certains arbres et lianes), enroulées avec du mil et quelques condiments",1.0,lùwɔ̀ jɛ́m,bìyà:-[lìy-î:],,lìgí,,luwɔligu,lùwɔ̀-[lìg-ú],lùwɔ̀ lígísù,,,lùwɔ́,lùbɔ̀-lìgú,,,,"bìlɛ̀ nìgìdú, bìlɛ̀ ùgú",,,lìgìdú,bèlà-lìgú,bèlà-nìgìjú,bélá-mù,,,,,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,6.0,leaf,feuille,905.0,,,old,,old foliage (on plant),vieux feuillage (d'une plante),3.0,,káksí:rɛ̀,,,,,,,,,,"lɛ̀: òlò-yǎy, lɛ̀: wò:-yǎy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,7.0,leaf,feuille,906.0,get,,old,,dried-out leaves on ground,feuilles sèches à terre,2.0,yô:,kí-kɔ́sɔ̀,kɔ̀sɔ̀-kɔ́sɔ̀,kɔ̀-kɔ́sɔ̂,,,,kɔ́-kɔ́sɔ̀,,,kùrɔ̀ mǎ,"òlǒy, kɔ̀gɔ̀jɔ̌m",,,,"óló, bùùlí, kɔ̀ɛ̀ⁿkɔ́ɛ́ⁿ",,,,,bùrèbúrè,,kùbɛ̀ má:yⁿé,,,,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,8.0,"frond, leaf",feuille,907.0,get,,old,,frond (leaf) of doum palm (cut into strips for weaving),feuille de palmier-doum (coupés en lanières pour le tissage),1.0,tǎy kɔ̀tɔ̀,bàl gì-gɛ̀lɛ̂y ~ jì-jɛ̀lɛ̀y,kóŋgù,bálî,nèmmé,bal,bâl,bálù,,,,nɛ̀mɛ́,,,,nɛ̀mmɛ́,ìmmú-ŋ́ (pl ìmmúⁿ yà:),,nɛ̀mbɛ̀-kúlá,nɛ̀mà-kùlà,èmbù-[kòmbá-ŋgó]\\èmbè-kòmbá,káŋání,kàŋgàlí kúbɛ̀,,ká:ŋgà,bálì,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,9.0,frond tip,bout de feuille,908.0,get,,old,,"pointed tip of palm frond (used for weaving mats, hand fans, etc.)","bout pointu de feuille de palmier (utilisée pour tisser les nattes, les éventails, etc.)",2.0,tǎy cìrⁿò,bàl-lɛ̀mdɛ̂:,,bàl nɛ́ndɛ̂,,balnɛnɛ,bàl-nɛ̀nɛ́,bàl-lɛ̀lɛ́,,,,nɛ̀mɛ́,,,,,,,bé:,nɛ̀mà-cíndá,èmbù-sìlâ:\\èmbì-sìlɛ̂:,,,,,,,,,,,,,,,,,,,,,
part (plant),leaf,partie (plante),feuille,15.0,7.0,10.0,"frond, leaf",feuille,909.0,,,old,,broad leaves (e.g. palm fronds) for roof of shed (esp. of blacksmith),feuilles larges (de palmier etc.) pour le toit d'un hangar (surtout de forgeron),3.0,,,,,,,,,,,,sìm-lɛ̂:,,,,sìm kòì kúé,,,,,pá:jà:\\pá:jɛ̀:,,,,,,,,,,,,,,,,,,,,,
