ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	AUTOCOGID
8386	BenTey	daughter	yà:yím	yà:yím	j à:/aː j í/i m		2964
8387	Bunoge	daughter	bé: yɔ̀:	bé:_yɔ̀:	b é:/eː + j ɔ̀:/ɔː		2966
8388	DogulDomA	daughter	ègù yáá, èyyá	ègù_yáá	è/e ɡ ù/u + j áá/aː		2967
8389	DonnoSo	daughter	yà:nà î:	yà:nà_î:	j à:/aː n à/a + î:/iː		2968
8390	JamsayAlphabet	daughter	ɲɛin	ɲɛin	ɲ/ɲ ɛ i n		2969
8391	JamsayDouentza	daughter	ɲɛ̀în	ɲɛ̀în	ɲ/ɲ ɛ̀/ɛ î/i n		2969
8392	Mombo	daughter	wè:yǎ:y // wìyɛ̌y // wù:yǎy	wè:yǎ:y	w è:/eː j ǎ:/aː j		2964
8393	Najamba	daughter	èndèyɛ̌:\\òndòyàwó:	èndèyɛ̌:	è/e ⁿd è/e j ɛ̌:/ɛː		2972
8394	Nanga	daughter	yǎỳⁿ	yǎỳⁿ	j ǎ/a ỳⁿ/ỹ		2968
8395	Penange	daughter	wè: yɔ̀:	wè:_yɔ̀:	w è:/eː + j ɔ̀:/ɔː		2966
8396	PergeTegu	daughter	ɲǎynù	ɲǎynù	ɲ/ɲ ǎ/a j n ù/u		2975
8397	TebulUre	daughter	ɛ̀dáyɛ́	ɛ̀dáyɛ́	ɛ̀/ɛ d á/a j ɛ́/ɛ		2972
8398	TogoKan	daughter	ɲɛ̌ỳⁿ	ɲɛ̌ỳⁿ	ɲ/ɲ ɛ̌/ɛ ỳⁿ/ỹ		2969
8399	TommoSoTongoTongo	daughter	ìyǎy	ìyǎy	ì/i j ǎ/a j		2964
8400	YandaDom	daughter	èníyè\\mù	èníyè	è/e n í/i j è/e		2972
8401	YornoSo	daughter	yá:	yá:	j á:/aː		2968
6422	BankanTey	dawn, sunrise	ùsùtùmbî:	ùsùtùmbî:	ù/u s ù/u t ù/u ⁿb î:/iː		2976
6423	BenTey	dawn, sunrise	ùsùtúmbó	ùsùtúmbó	ù/u s ù/u t ú/u ⁿb ó/o		2976
6424	DogulDomA	dawn, sunrise	túmmùg	túmmùg	t ú/u m m ù/u ɡ		2978
6425	DogulDomB	dawn, sunrise	ìsìg[túmmùg]	ìsìg	ì/i s ì/i ɡ		2979
6426	DonnoSo	dawn, sunrise	nàn[túmbòlò]	nàn	n à/a n		2980
6427	JamsayAlphabet	dawn, sunrise	ninitɔgugu,ninigogu	ninitɔgugu	n i n i t ɔ ɡ u/u ɡ u/u		2981
6428	Mombo	dawn, sunrise	gè:wè tómbó	gè:wè_tómbó	ɡ è:/eː w è/e + t ó/o ⁿb ó/o		2982
6429	Nanga	dawn, sunrise	ùsìtúmnɔ́	ùsìtúmnɔ́	ù/u s ì/i t ú/u m n ɔ́/ɔ		2976
6430	PergeTegu	dawn, sunrise	nì:sɛ̀:rⁿú	nì:sɛ̀:rⁿú	n ì:/iː s ɛ̀:/ɛː r̃ ú/u		2984
6431	TommoSoTongoTongo	dawn, sunrise	nàm túmmílé	nàm_túmmílé	n à/a m + t ú/u m m í/i l é/e		2985
6432	ToroTegu	dawn, sunrise	nòŋpúsú	nòŋpúsú	n ò/o ŋ p ú/u s ú/u		2980
6433	YandaDom	dawn, sunrise	ìzìgè[túmóŋ]	ìzìgè	ì/i z ì/i ɡ è/e		2979
6434	YornoSo	dawn, sunrise	bà:[yâ:rà]	bà:	b à:/aː		2988
7797	BankanTey	day before yesterday	yànáŋgà	yànáŋgà	j à/a n á/a ŋ ɡ à/a		2989
7798	BenTey	day before yesterday	íyé ùsú tà:nú	íyé_ùsú_tà:nú	í/i j é/e + ù/u s ú/u + t à:/aː n ú/u		2990
7799	DogulDomA	day before yesterday	írìntáánù	írìntáánù	í/i r ì/i n t áá/aː n ù/u		2991
7800	DogulDomB	day before yesterday	írùn tà:ndù	írùn_tà:ndù	í/i r ù/u n + t à:/aː ⁿd ù/u		2992
7801	DonnoSo	day before yesterday	íyè bà:y tà:ndú	íyè_bà:y_tà:ndú	í/i j è/e + b à:/aː j + t à:/aː ⁿd ú/u		2990
7802	JamsayAlphabet	day before yesterday	ijentan,ijennitan	ijentan	i dʒ e n t a n		2991
7803	JamsayDouentza	day before yesterday	íjéntǎ:n, íjénnǐ:tǎ:n	íjéntǎ:n	í/i dʒ é/e n t ǎ:/aː n		2991
7804	Mombo	day before yesterday	yá:gùnnà	yá:gùnnà	j á:/aː ɡ ù/u n n à/a		2989
7805	Najamba	day before yesterday	íyó tà:ndì	íyó_tà:ndì	í/i j ó/o + t à:/aː ⁿd ì/i		2990
7806	Nanga	day before yesterday	íyé ǹ tà:ndì:	íyé_ǹ_tà:ndì:	í/i j é/e + ǹ/n + t à:/aː ⁿd ì:/iː		2990
7807	Penange	day before yesterday	yà:gùntúná	yà:gùntúná	j à:/aː ɡ ù/u n t ú/u n á/a		2989
7808	PergeTegu	day before yesterday	íyéntà:lú	íyéntà:lú	í/i j é/e n t à:/aː l ú/u		2991
7809	TebulUre	day before yesterday	yɔ̌: dèmbé tà:ndù	yɔ̌:_dèmbé_tà:ndù	j ɔ̌:/ɔː + d è/e ⁿb é/e + t à:/aː ⁿd ù/u		2990
7810	Tiranige	day before yesterday	nìŋàmólí	nìŋàmólí	n ì/i ŋ à/a m ó/o l í/i		3002
7811	TogoKan	day before yesterday	íyé tà:nɛ́	íyé_tà:nɛ́	í/i j é/e + t à:/aː n ɛ́/ɛ		2990
7812	TommoSoTongoTongo	day before yesterday	ííyé báy tààndú, ííyé bé tààndú	ííyé_báy_tààndú	íí/iː j é/e + b á/a j + t àà/aː ⁿd ú/u		2990
7813	ToroTegu	day before yesterday	yèrùmé	yèrùmé	j è/e r ù/u m é/e		3005
7814	YandaDom	day before yesterday	íyè dèmè tá:ndù	íyè_dèmè_tá:ndù	í/i j è/e + d è/e m è/e + t á:/aː ⁿd ù/u		2990
7815	YornoSo	day before yesterday	yé: [bày tǎ:n]	yé:_	j é:/eː		3007
7884	BankanTey	daytime (not night)	ùsǐ:ⁿ	ùsǐ:ⁿ	ù/u s ǐ:ⁿ/ĩː		3008
7885	BenTey	daytime (not night)	ùsùdérⁿí: ~ ùsùdɛ́rⁿí:	ùsùdérⁿí:	ù/u s ù/u d é/e r̃ í:/iː		3009
7886	Bunoge	daytime (not night)	dènì	dènì	d è/e n ì/i		3010
7887	DogulDomA	daytime (not night)	ísìgà	ísìgà	í/i s ì/i ɡ à/a		3008
7888	DogulDomB	daytime (not night)	ísgà:	ísgà:	í/i s ɡ à:/aː		3008
7889	DonnoSo	daytime (not night)	nàndènú	nàndènú	n à/a ⁿd è/e n ú/u		3010
7890	Gourou	daytime (not night)	nìnúwⁿò	nìnúwⁿò	n ì/i n ú/u w̃ ò/o		3014
7891	JamsayAlphabet	daytime (not night)	ninuwⁿo,ninuwⁿɔ,nunuwⁿo,ɲalɔmɔ	ninuwⁿo	n i n u/u w̃ o		3014
7892	JamsayDouentza	daytime (not night)	nìnúwⁿó~ nìnúwⁿɔ́ ~ nùnúwⁿó, ɲálɔ́:mɔ̀	nìnúwⁿó	n ì/i n ú/u w̃ ó/o		3014
7893	JamsayMondoro	daytime (not night)	nìnúwⁿò	nìnúwⁿò	n ì/i n ú/u w̃ ò/o		3014
7894	Mombo	daytime (not night)	gé:wⁿè	gé:wⁿè	ɡ é:/eː w̃ è/e		3018
7895	Najamba	daytime (not night)	ùjú	ùjú	ù/u dʒ ú/u		3019
7896	Nanga	daytime (not night)	ùsìdɛ́rⁿí	ùsìdɛ́rⁿí	ù/u s ì/i d ɛ́/ɛ r̃ í/i		3009
7897	Penange	daytime (not night)	gɛ̀:ⁿ (in: gɛ̀:ⁿ nì 'in the daytime', lit. 'with sun'), gɛ̀:dɛ̀n	gɛ̀:ⁿ_	ɡ ɛ̀:ⁿ/ɛː		3018
7898	PergeTegu	daytime (not night)	dɛ́gú	dɛ́gú	d ɛ́/ɛ ɡ ú/u		3010
7899	TebulUre	daytime (not night)	ùdú	ùdú	ù/u d ú/u		3019
7900	Tiranige	daytime (not night)	dè:ŋgú (Boui), dɛ̀nìgí (Ningo)	dè:ŋgú_	d è:/eː ŋ ɡ ú/u		3010
7901	TogoKan	daytime (not night)	ìsìgɛ́	ìsìgɛ́	ì/i s ì/i ɡ ɛ́/ɛ		3008
7902	TommoSoTongoTongo	daytime (not night)	àgá, nǎm	àgá	à/a ɡ á/a		3018
7903	ToroTegu	daytime (not night)	nùŋùlɔ́	nùŋùlɔ́	n ù/u ŋ ù/u l ɔ́/ɔ		3014
7904	YandaDom	daytime (not night)	dèrⁿìŋ ~ dèrⁿŋ ~ dènùŋ	dèrⁿìŋ	d è/e r̃ ì/i ŋ		3009
7905	YornoSo	daytime (not night)	dɛ̌n	dɛ̌n	d ɛ̌/ɛ n		3010
856	BankanTey	dead person, corpse	tíwɛ́m\\tíwɛ́	tíwɛ́m	t í/i w ɛ́/ɛ m		3020
857	BenTey	dead person, corpse	tìwɛ́	tìwɛ́	t ì/i w ɛ́/ɛ		3020
858	Bunoge	dead person, corpse	dò:wà	dò:wà	d òː/oː w à/a		3020
859	DogulDomA	dead person, corpse	tìbìgí, tìbùwú	tìbìgí	t ì/i b ì/i ɡ í/i		3020
860	DogulDomB	dead person, corpse	tìbùgú	tìbùgú	t ì/i b ù/u ɡ ú/u		3020
861	DonnoSo	dead person, corpse	yìmú	yìmú	j ì/i m ú/u		3025
862	JamsayAlphabet	dead person, corpse	nuwⁿo	nuwⁿo	n u/u w̃ o		3026
863	JamsayDouentza	dead person, corpse	nùwⁿó	nùwⁿó	n ù/u w̃ ó/o		3026
864	Mombo	dead person, corpse	ǹdà dwɛ́	ǹdà_dwɛ́	ǹ/n d à/a + d w ɛ́/ɛ		3028
865	Najamba	dead person, corpse	nò: tíbɛ́:\\nòmbò tíbɔ́:	nò:_tíbɛ́:	n òː/oː + t í/i b ɛ́:/ɛː		3020
866	Nanga	dead person, corpse	tùwá	tùwá	t ù/u w á/a		3020
867	PergeTegu	dead person, corpse	nùwⁿó	nùwⁿó	n ù/u w̃ ó/o		3026
868	TebulUre	dead person, corpse	tìbá:	tìbá:	t ì/i b á:/aː		3020
869	TommoSoTongoTongo	dead person, corpse	yìmú	yìmú	j ì/i m ú/u		3025
870	TomoKanSegue	dead person, corpse	nùmù	nùmù	n ù/u m ù/u		3026
871	ToroTegu	dead person, corpse	nùn núwⁿó\\nùm núwⁿó	nùn_núwⁿó	n ù/u n + n ú/u w̃ ó/o		3026
872	YandaDom	dead person, corpse	tìbɛ̀	tìbɛ̀	t ì/i b ɛ̀/ɛ		3020
873	YornoSo	dead person, corpse	yǐm	yǐm	j ǐ/i m		3025
12552	JamsayAlphabet	deaf-mute, deaf (adjective)	mumo	mumo	m u/u m o		3029
12553	JamsayDouentza	deaf-mute, deaf (adjective)	mú:mò	mú:mò	m úː/uː m ò/o		3029
12554	Mombo	deaf-mute, deaf (adjective)	mú:mà:ⁿ	mú:mà:ⁿ	m úː/uː m à:ⁿ/ãː		3029
12555	Nanga	deaf-mute, deaf (adjective)	mú:mà	mú:mà	m úː/uː m à/a		3029
12556	PergeTegu	deaf-mute, deaf (adjective)	mú:màn	mú:màn	m úː/uː m à/a n		3029
12557	TommoSoTongoTongo	deaf-mute, deaf (adjective)	múùmɔ̀	múùmɔ̀	m ûː/uː m ɔ̀/ɔ		3029
12558	YandaDom	deaf-mute, deaf (adjective)	mú:mà	mú:mà	m úː/uː m à/a		3029
12559	YornoSo	deaf-mute, deaf (adjective)	mû:mɔ̀	mû:mɔ̀	m ûː/uː m ɔ̀/ɔ		3029
7406	BankanTey	deep (hole, well)	nɔ᷈:wⁿ	nɔ᷈:wⁿ	n ɔ᷈:/ɔː w̃		3030
7407	BenTey	deep (hole, well)	wɔ́rⁿɔ̀wⁿ, wórⁿòwⁿ	wɔ́rⁿɔ̀wⁿ	w ɔ́/ɔ r̃ ɔ̀/ɔ w̃		3031
7408	Bunoge	deep (hole, well)	gìmbò	gìmbò	ɡ ì/i ⁿb ò/o		3032
7409	DogulDomA	deep (hole, well)	mínù	mínù	m í/i n ù/u		3033
7410	DogulDomB	deep (hole, well)	mìnùŋ́	mìnùŋ́	m ì/i n ù/u ŋ́/ŋ		3033
7411	DonnoSo	deep (hole, well)	tǒ:	tǒ:	t ǒː/oː		3035
7412	Gourou	deep (hole, well)	wóró	wóró	w ó/o r ó/o		3031
7413	JamsayAlphabet	deep (hole, well)	woro	woro	w o r o		3031
7414	JamsayDouentza	deep (hole, well)	wóró	wóró	w ó/o r ó/o		3031
7415	JamsayMondoro	deep (hole, well)	wóró	wóró	w ó/o r ó/o		3031
7416	Mombo	deep (hole, well)	súmbù	súmbù	s ú/u ⁿb ù/u		3032
7417	Najamba	deep (hole, well)	mìníyè\\mǐngè	mìníyè	m ì/i n í/i j è/e		3033
7418	Nanga	deep (hole, well)	sóŋî	sóŋî	s ó/o ŋ î/i		3042
7419	Penange	deep (hole, well)	sùmbè	sùmbè	s ù/u ⁿb è/e		3032
7420	PergeTegu	deep (hole, well)	wórⁿó	wórⁿó	w ó/o r̃ ó/o		3031
7421	TebulUre	deep (hole, well)	tó:ŋgó	tó:ŋgó	t óː/oː ŋ ɡ ó/o		3035
7422	Tiranige	deep (hole, well)	nímí	nímí	n í/i m í/i		3046
7423	TogoKan	deep (hole, well)	wóró	wóró	w ó/o r ó/o		3031
7424	TommoSoTongoTongo	deep (hole, well)	tòógó	tòógó	t ǒː/oː ɡ ó/o		3035
7425	ToroTegu	deep (hole, well)	lókó	lókó	l ó/o k ó/o		3049
7426	YandaDom	deep (hole, well)	tòyⁿ	tòyⁿ	t ò/o yⁿ/ỹ		3035
7427	YornoSo	deep (hole, well)	tǒ:	tǒ:	t ǒː/oː		3035
8863	BankanTey	defeat, overpower, vanquish	màmí	màmí	m à/a m í/i		3050
8864	Bunoge	defeat, overpower, vanquish	ʔímmɛ̀	ʔímmɛ̀	ʔ í/i m m ɛ̀/ɛ		3051
8865	DogulDomA	defeat, overpower, vanquish	m̀mìyɛ́	m̀mìyɛ́	m̀/m m ì/i j ɛ́/ɛ		3052
8866	DogulDomB	defeat, overpower, vanquish	míyɛ̀	míyɛ̀	m í/i j ɛ̀/ɛ		3052
8867	DonnoSo	defeat, overpower, vanquish	nùmbùgùló\\númbùgùlì	nùmbùgùló	n ù/u ⁿb ù/u ɡ ù/u l ó/o		3054
8868	JamsayAlphabet	defeat, overpower, vanquish	jalɛ,gara	jalɛ	dʒ a l ɛ		3055
8869	JamsayDouentza	defeat, overpower, vanquish	já:lɛ́, gàrá	já:lɛ́	dʒ á:/aː l ɛ́/ɛ		3055
8870	Mombo	defeat, overpower, vanquish	ímyɛ̂:	ímyɛ̂:	í/i m j ɛ̂:/ɛː		3052
8871	Najamba	defeat, overpower, vanquish	mǎ:m\\mà:mè	mǎ:m	m ǎ:/aː m		3050
8872	Nanga	defeat, overpower, vanquish	gáɲɛ́	gáɲɛ́	ɡ á/a ɲ/ɲ ɛ́/ɛ		3059
8873	Penange	defeat, overpower, vanquish	úmyɛ̀ (ɲ)	úmyɛ̀_	ú/u m j ɛ̀/ɛ		3052
8874	PergeTegu	defeat, overpower, vanquish	dádɛ́, gáɲɛ́	dádɛ́	d á/a d ɛ́/ɛ		3055
8875	TebulUre	defeat, overpower, vanquish	zàrá (zàrátì)	zàrá_	z à/a r á/a		3062
8876	Tiranige	defeat, overpower, vanquish	ímíyɔ́	ímíyɔ́	í/i m í/i j ɔ́/ɔ		3052
8877	TogoKan	defeat, overpower, vanquish	gɔ̀rⁿɔ́	gɔ̀rⁿɔ́	ɡ ɔ̀/ɔ r̃ ɔ́/ɔ		3062
8878	TommoSoTongoTongo	defeat, overpower, vanquish	ɛ́mmɛ́	ɛ́mmɛ́	ɛ́/ɛ m m ɛ́/ɛ		3051
8879	YandaDom	defeat, overpower, vanquish	nǎŋ\\nàŋálì	nǎŋ	n ǎ/a ŋ		3066
8880	YornoSo	defeat, overpower, vanquish	gɔ̀rⁿɔ́, gàɲá	gɔ̀rⁿɔ́	ɡ ɔ̀/ɔ r̃ ɔ́/ɔ		3062
2801	BankanTey	defecate (verb only)	sùwá	sùwá	s ù/u w á/a		3067
2802	BenTey	defecate (verb only)	súwɔ́	súwɔ́	s ú/u w ɔ́/ɔ		3067
2803	Bunoge	defecate (verb only)	súgɛ̀	súgɛ̀	s ú/u ɡ ɛ̀/ɛ		3067
2804	DogulDomB	defecate (verb only)	súgɛ̀	súgɛ̀	s ú/u ɡ ɛ̀/ɛ		3067
2805	DonnoSo	defecate (verb only)	bèdé\\bédè	bèdé	b è/e d é/e		3072
2806	Gourou	defecate (verb only)	bɛ̌:	bɛ̌:	b ɛ̌:/ɛː		3072
2807	JamsayAlphabet	defecate (verb only)	bɛ	bɛ	b ɛ		3072
2808	JamsayDouentza	defecate (verb only)	bɛ̌:	bɛ̌:	b ɛ̌:/ɛː		3072
2809	Najamba	defecate (verb only)	súgɛ́	súgɛ́	s ú/u ɡ ɛ́/ɛ		3067
2810	Nanga	defecate (verb only)	súgɔ́	súgɔ́	s ú/u ɡ ɔ́/ɔ		3067
2811	Penange	defecate (verb only)	súgɛ́	súgɛ́	s ú/u ɡ ɛ́/ɛ		3067
2812	PergeTegu	defecate (verb only)	bɛ̌:	bɛ̌:	b ɛ̌:/ɛː		3072
2813	TebulUre	defecate (verb only)	súgɔ́ (súgɔ́tì)	súgɔ́_	s ú/u ɡ ɔ́/ɔ		3067
2814	Tiranige	defecate (verb only)	súgɔ́	súgɔ́	s ú/u ɡ ɔ́/ɔ		3067
2815	TogoKan	defecate (verb only)	bɛ̌: [for bɛ̌:sɛ̂ⁿ see also bě: 'put']	bɛ̌:_	b ɛ̌:/ɛː		3072
2816	TommoSoTongoTongo	defecate (verb only)	bɔ̀dɔ́	bɔ̀dɔ́	b ɔ̀/ɔ d ɔ́/ɔ		3072
2817	TomoKanDiangassagou	defecate (verb only)	dùrì	dùrì	d ù/u r ì/i		3083
2818	TomoKanSegue	defecate (verb only)	dùrì	dùrì	d ù/u r ì/i		3083
2819	ToroTegu	defecate (verb only)	bɔ̀sú\\bɔ̀sɔ́	bɔ̀sú	b ɔ̀/ɔ s ú/u		3072
2820	YandaDom	defecate (verb only)	súwɔ́\\súwólì	súwɔ́	s ú/u w ɔ́/ɔ		3067
2821	YornoSo	defecate (verb only)	bɔ̀jɔ́\\bɔ̀jɔ́	bɔ̀jɔ́	b ɔ̀/ɔ dʒ ɔ́/ɔ		3072
9007	BankanTey	demon, pagan devil opposed to God	sèytá:nìm	sèytá:nìm	s è/e j t á:/aː n ì/i m		3084
9008	BenTey	demon, pagan devil opposed to God	sèytá:nùm\\sèytá:nù	sèytá:nùm	s è/e j t á:/aː n ù/u m		3084
9009	DogulDomA	demon, pagan devil opposed to God	séétàn; jínú	séétàn	s éé/eː t à/a n		3084
9010	DonnoSo	demon, pagan devil opposed to God	sè:dá:nɛ̀, sè:tá:nɛ̀	sè:dá:nɛ̀	s è:/eː d á:/aː n ɛ̀/ɛ		3084
9011	JamsayAlphabet	demon, pagan devil opposed to God	seydan	seydan	s e j d a n		3084
9012	JamsayDouentza	demon, pagan devil opposed to God	séydâ:n	séydâ:n	s é/e j d â:/aː n		3084
9013	Mombo	demon, pagan devil opposed to God	sétánè	sétánè	s é/e t á/a n è/e		3084
9014	Najamba	demon, pagan devil opposed to God	sèyɗá:nì	sèyɗá:nì	s è/e j ɗ á:/aː n ì/i		3084
9015	Nanga	demon, pagan devil opposed to God	ségítá:ndì	ségítá:ndì	s é/e ɡ í/i t á:/aː ⁿd ì/i		3092
9016	PergeTegu	demon, pagan devil opposed to God	séytâ:n	séytâ:n	s é/e j t â:/aː n		3084
9017	TebulUre	demon, pagan devil opposed to God	séttâ:n\\mbò	séttâ:n	s é/e t t â:/aː n		3084
9018	TogoKan	demon, pagan devil opposed to God	sítá:nú	sítá:nú	s í/i t á:/aː n ú/u		3084
9019	TommoSoTongoTongo	demon, pagan devil opposed to God	jínú	jínú	dʒ í/i n ú/u		3084
9020	ToroTegu	demon, pagan devil opposed to God	sèytá:nì	sèytá:nì	s è/e j t á:/aː n ì/i		3084
9021	YandaDom	demon, pagan devil opposed to God	sètá:nù	sètá:nù	s è/e t á:/aː n ù/u		3084
9022	YornoSo	demon, pagan devil opposed to God	sètâ:n	sètâ:n	s è/e t â:/aː n		3084
13947	BankanTey	depart, leave, exit, go from (a place)	gó	gó	ɡ ó/o		3093
13948	BenTey	depart, leave, exit, go from (a place)	gǒ	gǒ	ɡ ǒ/o		3093
13949	DogulDomA	depart, leave, exit, go from (a place)	bɔ̀lɛ́	bɔ̀lɛ́	b ɔ̀/ɔ l ɛ́/ɛ		3095
13950	DonnoSo	depart, leave, exit, go from (a place)	gǒ:\\góè	gǒ:	ɡ ǒː/oː		3093
13951	Gourou	depart, leave, exit, go from (a place)	gó:	gó:	ɡ óː/oː		3093
13952	JamsayAlphabet	depart, leave, exit, go from (a place)	go	go	ɡ o		3093
13953	JamsayDouentza	depart, leave, exit, go from (a place)	gǒ:	gǒ:	ɡ ǒː/oː		3093
13954	Mombo	depart, leave, exit, go from (a place)	dɛ́:ndɛ̀	dɛ́:ndɛ̀	d ɛ́:/ɛː ⁿd ɛ̀/ɛ		3100
13955	Najamba	depart, leave, exit, go from (a place)	gwé\\gwè	gwé	ɡ w é/e		3093
13956	Nanga	depart, leave, exit, go from (a place)	gǒ:	gǒ:	ɡ ǒː/oː		3093
13957	PergeTegu	depart, leave, exit, go from (a place)	gǒ:	gǒ:	ɡ ǒː/oː		3093
13958	Tiranige	depart, leave, exit, go from (a place)	gó:, sàlè gó:	gó:	ɡ óː/oː		3093
13959	TogoKan	depart, leave, exit, go from (a place)	gǒ:\\gó:	gǒ:	ɡ ǒː/oː		3093
13960	TommoSoTongoTongo	depart, leave, exit, go from (a place)	gòó	gòó	ɡ ǒː/oː		3093
13961	ToroTegu	depart, leave, exit, go from (a place)	gú\\gó	gú	ɡ ú/u		3093
13962	YandaDom	depart, leave, exit, go from (a place)	gó\\gòlí	gó	ɡ ó/o		3093
13963	YornoSo	depart, leave, exit, go from (a place)	gǒ:\\gǒ:	gǒ:	ɡ ǒː/oː		3093
8193	JamsayAlphabet	desist from, cease (an activity)	go	go	ɡ o		3101
8194	JamsayDouentza	desist from, cease (an activity)	gǒ:	gǒ:	ɡ ǒː/oː		3101
8195	Mombo	desist from, cease (an activity)	dɛ́:ndɛ̀	dɛ́:ndɛ̀	d ɛ́:/ɛː ⁿd ɛ̀/ɛ		3103
8196	Najamba	desist from, cease (an activity)	íŋgíyɛ́	íŋgíyɛ́	í/i ŋ ɡ í/i j ɛ́/ɛ		3104
8197	Penange	desist from, cease (an activity)	íŋgírɛ̀	íŋgírɛ̀	í/i ŋ ɡ í/i r ɛ̀/ɛ		3104
8198	TogoKan	desist from, cease (an activity)	dàgá	dàgá	d à/a ɡ á/a		3103
8199	TommoSoTongoTongo	desist from, cease (an activity)	pádá	pádá	p á/a d á/a		3107
8200	ToroTegu	desist from, cease (an activity)	dɛ̀lú\\dɛ̀lá	dɛ̀lú	d ɛ̀/ɛ l ú/u		3103
15702	Najamba	destroy (e.g. a village)	hálkɛ́	hálkɛ́	h á/a l k ɛ́/ɛ		3108
15703	TogoKan	destroy (e.g. a village)	tɛ́wɛ́	tɛ́wɛ́	t ɛ́/ɛ w ɛ́/ɛ		3109
15704	TommoSoTongoTongo	destroy (e.g. a village)	jɔ̀gɔ́	jɔ̀gɔ́	dʒ ɔ̀/ɔ ɡ ɔ́/ɔ		3109
15705	YandaDom	destroy (e.g. a village)	gùyó\\gùyòlí	gùyó	ɡ ù/u j ó/o		3111
15706	YornoSo	destroy (e.g. a village)	jɔ̀gɔ́\\jɔ̀gɔ́	jɔ̀gɔ́	dʒ ɔ̀/ɔ ɡ ɔ́/ɔ		3109
6639	BankanTey	dew	èrèrěy, sáwàndɛ́:rɛ̀	èrèrěy	è/e r è/e r ě/e j		3112
6640	BenTey	dew	ìrènî:, èrènî:	ìrènî:	ì/i r è/e n î:/iː		3112
6641	Bunoge	dew	ʔíwólgɔ̀	ʔíwólgɔ̀	ʔ í/i w ó/o l ɡ ɔ̀/ɔ		3114
6642	DogulDomA	dew	òlòólò	òlòólò	ò/o l ǒː/oː l ò/o		3115
6643	DogulDomB	dew	òlòòló	òlòòló	ò/o l òː/oː l ó/o		3115
6644	DonnoSo	dew	wò:bú	wò:bú	w òː/oː b ú/u		3117
6645	Gourou	dew	òmnò ní:	òmnò_ní:	ò/o m n ò/o + n í:/iː		3118
6646	JamsayAlphabet	dew	omnoni	omnoni	o m n o n i		3118
6647	JamsayDouentza	dew	òmnòní:	òmnòní:	ò/o m n ò/o n í:/iː		3118
6648	Mombo	dew	élélè // èlèlè mí:	élélè	é/e l é/e l è/e		3115
6649	Najamba	dew	èlǎ:\\ɛ̀lɛ̌:	èlǎ:	è/e l ǎ:/aː		3115
6650	Nanga	dew	nì:sǒ:rô	nì:sǒ:rô	n ì:/iː s ǒː/oː r ô/o		3123
6651	Penange	dew	èlèlèmî:	èlèlèmî:	è/e l è/e l è/e m î:/iː		3115
6652	PergeTegu	dew	òmdòní:	òmdòní:	ò/o m d ò/o n í:/iː		3118
6653	TebulUre	dew	è:lé:	è:lé:	è:/eː l é:/eː		3115
6654	Tiranige	dew	élélé	élélé	é/e l é/e l é/e		3115
6655	TogoKan	dew	òrùmòdí:	òrùmòdí:	ò/o r ù/u m ò/o d í:/iː		3128
6656	TommoSoTongoTongo	dew	wòòbú	wòòbú	w òː/oː b ú/u		3117
6657	ToroTegu	dew	àrándáŋ	àrándáŋ	à/a r á/a ⁿd á/a ŋ		3128
6658	YandaDom	dew	èèl	èèl	èè/eː l		3115
6659	YornoSo	dew	wòbú	wòbú	w ò/o b ú/u		3117
14618	BankanTey	difficult (work)	nǔm̀	nǔm̀	n ǔ/u m̀/m		3129
14619	BenTey	difficult (work)	nǔm	nǔm	n ǔ/u m		3129
14620	Bunoge	difficult (work)	kà:ndà	kà:ndà	k à:/aː ⁿd à/a		3131
14621	DogulDomA	difficult (work)	màyígù	màyígù	m à/a j í/i ɡ ù/u		3132
14622	DogulDomB	difficult (work)	màygú (mǎyg)	màygú_	m à/a j ɡ ú/u		3132
14623	DonnoSo	difficult (work)	ɲâŋ	ɲâŋ	ɲ/ɲ â/a ŋ		3129
14624	JamsayAlphabet	difficult (work)	nam	nam	n a m		3129
14625	JamsayDouentza	difficult (work)	nǎm	nǎm	n ǎ/a m		3129
14626	Mombo	difficult (work)	má:gá	má:gá	m á:/aː ɡ á/a		3132
14627	Najamba	difficult (work)	nàmíyè\\nǎmgò, mǎyyè\\mǎyŋgò	nàmíyè	n à/a m í/i j è/e		3129
14628	Nanga	difficult (work)	nɔ̀mî	nɔ̀mî	n ɔ̀/ɔ m î/i		3129
14629	Penange	difficult (work)	má:gá	má:gá	m á:/aː ɡ á/a		3132
14630	PergeTegu	difficult (work)	nǎm	nǎm	n ǎ/a m		3129
14631	TebulUre	difficult (work)	nómè:\\nómgò\\nómbò	nómè:	n ó/o m è:/eː		3129
14632	Tiranige	difficult (work)	má:gá	má:gá	m á:/aː ɡ á/a		3132
14633	TogoKan	difficult (work)	kìrɛ́	kìrɛ́	k ì/i r ɛ́/ɛ		3131
14634	TommoSoTongoTongo	difficult (work)	ɲám, ɛ́ɛ́ⁿ, máyyám	ɲám	ɲ/ɲ á/a m		3129
14635	ToroTegu	difficult (work)	nâŋ	nâŋ	n â/a ŋ		3129
14636	YandaDom	difficult (work)	nǎm	nǎm	n ǎ/a m		3129
14637	YornoSo	difficult (work)	nám	nám	n á/a m		3129
