ID	NUMBER	ENGLISH	FRENCH	ENGLISH_SHORT	FRENCH_SHORT	ENGLISH_CATEGORY	FRENCH_CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS
concepts-5617	5617	lip (of mouth)	lèvres (de la bouche)	lip	lèvre	body/mouth	corps/bouche	478	LIP	noun
concepts-4591	4591	grow (plants)	élever (plantes)	raise, bring up	élever	age/raise	âge/élever	479	GROW	verb
concepts-6364	6364	noble, freeborn person	noble (non esclave)	noble, freeborn	noble	status/noble	rang/noble	482	NOBLE	noun
concepts-1208	1208	(species) become locally extinct, disappear from a zone	(espèce naturelle) s'extirper, disparaître (d'une zone)	disappear, extinct	disparaître, extirper	vision/disappear	vision/disparaître	485	DISAPPEAR	verb
concepts-5894	5894	manner, way	manière, façon	manner, way	manière, façon	do/work/manner	faire/travail/manière	488	MANNER	noun
concepts-5288	5288	kidney	rein	kidney	rein, rognon	body/internal organ	corps/organe interne	489	KIDNEY	noun
concepts-8802	8802	three	trois	3	trois	numeral/count/digit 2-9	numéro/compter/chiffre 2-9	492	THREE	numeral
concepts-4147	4147	five	cinq	5	cinq	numeral/count/digit 2-9	numéro/compter/chiffre 2-9	493	FIVE	numeral
concepts-7500	7500	scar (noun)	cicatrice	scar	cicatrice	medicine/scar	médecine/cicatrice	497	SCAR	noun
concepts-2763	2763	calf (of leg)	mollet	calf (leg)	mollet	body/leg	corps/jambe	498	CALF OF LEG	noun
concepts-1423	1423	(wound) heal	(plaie) guérir	heal	guérir	medicine/recover	médecine/guérir	499	CURE	verb
concepts-5574	5574	lift, pick up (sth) in one's hands	soulever, prendre et lever (qch) dans la main	lift, pick up	lever, soulever	direction/up	direction/haut	501	LIFT	verb
concepts-8210	8210	spike, nail, tack	pointe, clou	nail, spike	pointe, clou	point/spike	pointe/pointe	502	NAIL (TOOL)	noun
concepts-5514	5514	learn, be trained	apprendre, avoir sa formation	learn	apprendre	mental/learn	mental/apprendre	504	LEARN	verb
concepts-6585	6585	parents (father and mother)	parents (le père et la mère)	parents	parents (père, mère)	kinship/kin	parenté/parent	505	PARENTS	noun
concepts-3183	3183	corn, maize	maïs	corn, maize	maïs	plant (cultivated)/grain crop	plante (cultivée)/céréale cultivée	506	MAIZE	noun
concepts-981	981	(sb) be certain (of sth)	(qn) ê. sûr (de qch)	certain, definite	certain, sûr	truth/lie/certainty	vérité/mensonge/certitude	509	CERTAIN	adjective
concepts-8790	8790	this year	cette année	this year	cette année	time (deictic)/year	temps (déictique)/année	513	THIS YEAR	other
concepts-5455	5455	last year	l'année passée	last year	l'année passée	time (deictic)/year	temps (déictique)/année	514	LAST YEAR	other
concepts-6344	6344	next year	l'année prochaine	next year	l'année prochaine	time (deictic)/year	temps (déictique)/année	515	NEXT YEAR	other
concepts-8170	8170	spark	étincelle	spark	étincelle	fire/spark	feu/étincelle	518	SPARK	noun
concepts-305	305	(dog) howl, bay (verb only)	(chien) hurler (verbe seulement)	howl	hurler	sound/dog/cat sound	son/cri de chien/chat	526	HOWL	verb
concepts-4435	4435	glutton, one who eats too much	glouton, gourmand, qn qui mange beaucoup	glutton	glouton	desire/need/crave	désir/besoin/fort désir	533	GLUTTON	noun
concepts-5025	5025	hump (of cow, camel, st donkey)	bosse (de vache, de chameau, qqf d'âne)	hump (animal)	bosse	part (animal)/hump/mane	partie (animal)/bosse/crinière	534	HUMP	noun
concepts-5141	5141	inflated (tire)	(pneu) enflé	inflate	enfler, gonfler	size/inflate	taille/enfler	535	INFLATED	adjective
concepts-6970	6970	pungent, hot (in taste)	(goût) piquant	pungent, spicy	piquant	taste/pungent	goût/piquant	544	SPICY	adjective
concepts-1422	1422	(wound) be swollen, infected	(plaie) s'enfler, devenir infecté	wound, infection, swelling	plaie, enflure, infection	medicine/infect	médecine/infecter	548	INFECTED	verb
concepts-702	702	(man) copulate with, fuck (woman)	(homme) avoir un rapport sexuel avec (femme)	copulate, fuck	copuler, rapport sexuel	body function/sex	fonctionnement corporel/sexe	549	COPULATE	verb
concepts-430	430	(e.g. shoulder) get out of joint, be dislocated	(épaule etc.) ê. luxé, sortir (de son articulation)	dislocate	luxé	medicine/dislocate	médecine/luxer	551	DISLOCATE	verb
concepts-4592	4592	grow up	grandir	grow up	grandir	size/big	taille/gros	552	GROW UP	verb
concepts-6593	6593	pass by (place)	passer par (lieu)	pass	passer	motion/pass/cross	mouvement/passer/traverser	558	PASS BY	verb
concepts-7121	7121	rebel, revolt (verb only)	se révolter	revolt	révolter	fight/revolt	lutte/révolter	567	REBEL	verb
concepts-1283	1283	(sun) rise	(soleil) se lever	rise, sunrise	aube, se lever(soleil)	celestial body/rise	corps céleste/lever	568	RISE (MOVE UPWARDS)	verb
concepts-1265	1265	(sth) rot, be or become rotten, spoil	(qch) pourrir, ê. pourri	rot	pourrir	smell/rot	olfaction/pourrir	569	SPOIL (BECOME SPOILED)	adjective
concepts-1801	1801	act of standing	fait d'ê. debout, fait de s'arrêter	stand	debout	body position/stand/stop	position du corps/debout/arrêter	570	STAND UP	verb
concepts-181	181	(bee) sting (sb)	(abeille) piquer (qn)	sting	piquer	penetrate/bite/sting	pénétrer/mordre/piquer	571	STING	verb
concepts-450	450	(e.g. tree) sway	(arbre, etc.) tituber	sway	tituber	motion/sway	mouvement/tituber	573	SWAY	verb
concepts-8949	8949	tread on, step on, trample	marcher sur, piétiner	tread, step on	marcher sur	hit/kick/trample	frapper/coup de pied/piétiner	575	TREAD	verb
concepts-5135	5135	index finger, forefinger	index	finger	doigt	body/finger/toe	corps/doigt/orteil	577	FOREFINGER	noun
concepts-4453	4453	go back, return	retourner	return, go back	retourner	motion/return	mouvement/retourner	581	COME BACK	verb
concepts-5537	5537	lend (an object, to sb)	prêter (un objet, à qn)	lend	prêter	commerce/lend/rent	commerce/prêter/louer	582	LEND	verb
concepts-3481	3481	difficult (work)	(travail) difficile	difficult	difficile	do/work/difficult/easy	faire/travail/difficile/facile	584	DIFFICULT	adjective
concepts-2515	2515	boot (of soldier or gendarme)	botte (de militaire, de gendarme)	boot	botte	clothing/footwear	vêtements/chaussure	585	BOOT	noun
concepts-9187	9187	vegetable garden	jardin à légumes, jardin potager	garden	jardin	agriculture/gardening	agriculture/jardinage	586	GARDEN	noun
concepts-170	170	(apparatus) malfunction, not work	(appareil) ne pas marcher, ê. gâté	malfunction, not work	gâté	malfunction/repair/malfunction	abîmer/réparer/abîmer	3190	BROKEN (NOT WORKING)	adjective
concepts-1416	1416	(wooden handle of axe etc.) be broken (at business end)	(manche en bois de hache etc.) ê. cassé (au bout où le fer s'insère)	damaged	endommagé, gâté	malfunction/repair/malfunction	abîmer/réparer/abîmer	588	BROKEN	adjective
concepts-2222	2222	be naked	ê. nu	naked	nu	clothing/nudity	vêtements/nudité	590	NAKED	adjective
concepts-9169	9169	urinate, have a piss	uriner, pisser	urinate, piss	uriner, pisser	body function/urinate	fonctionnement corporel/uriner	592	PISS	verb
concepts-6835	6835	potato	pomme de terre	potato	pomme de terre	plant (cultivated)/root crop	plante (cultivée)/racine cultivée	593	POTATO	noun
concepts-6703	6703	piece xxx	morceau xxx	piece	morceau	part (object)/piece	partie (object)/partie/morceau	594	PIECE	noun
concepts-3589	3589	doctor	docteur, médecin	doctor	docteur	medicine/healer	médecine/guérisseur	597	PHYSICIAN	noun
concepts-2779	2779	carapace, shell (of tortoise)	carapace (coque de tortue)	shell, carapace	casque, carapace	part (animal)/shell	partie (animal)/coquille/carapace	598	SHELL	noun
concepts-7483	7483	say sth false (lie, exaggeration, or honest mistake)	dire du faux (mensonge, exagération, ou erreur	FALSE	FAUX	truth/lie/falsehood	vérité/mensonge/mensonge	601	LIE (MISLEAD)	verb
concepts-4883	4883	hide, conceal (sth)	cacher (qch)	hide	cacher	hide/reveal/hide	cacher/dévoiler/cacher	602	HIDE (CONCEAL)	verb
concepts-4428	4428	glass (material, e.g. bottle or window)	verre, vitre (matériel, comme bouteille ou vitrine)	glass	verre, vitre	box/can/bottle/barrel	boîte/bouteille/barique	604	GLASS	noun
concepts-4544	4544	grass, herbs	herbe, plantes herbacées	grass	herbe	livestock/nourishment	bétail/nourriture	606	GRASS	noun
concepts-4620	4620	hail, hailstones	grêle	hail	grêle	weather/hail	météorologie/grêle	609	HAIL	noun
concepts-6066	6066	millet harvest (noun)	récolte du mil	harvest	récolte	agriculture/harvest	agriculture/récolte	611	HARVEST	noun
concepts-4834	4834	heat (sth), make hot	(ré)chauffer (qch)	heat	chauffer	hot/cold/hot	chaleur/froid/chaleur	612	HEAT	noun
concepts-4981	4981	horse	cheval	horse	cheval	animal/horse	animal/mouton	615	HORSE	noun
concepts-1152	1152	(sb, sth) sticking out and hanging out over an edge (of a roof, precipice) (adverb)	(qn, qch) saillant et suspendu au bord (d'un précipice, d'un toit, etc.) (adverbe)	protrude, stick out	saillant	vision/appear	vision/apparaître	618	PRECIPICE	noun
concepts-5195	5195	iron, steel, metal	fer, acier, métal	iron	fer	metal/iron	métal/fer	621	IRON	noun
concepts-5355	5355	lamp (esp. modern)	lampe (surtout moderne)	lamp	lampe	light/darkness/lamp	lumière/obscurité/lampe	625	LAMP	noun
concepts-5505	5505	leaf (of plant)	feuille (de plante)	leaf	feuille	part (plant)/leaf	partie (plante)/feuille	628	LEAF	noun
concepts-3599	3599	domestic animal (esp. livestock)	animal domestique (surtout bétail)	animal	animal	animal/livestock	animal/bétail	631	LIVESTOCK	noun
concepts-5899	5899	market	marché	market	marché	commerce/market	commerce/marché	633	MARKET	noun
concepts-5957	5957	meat	viande	meat	viande	food/meat	aliment/viande	634	MEAT	noun
concepts-6042	6042	milk	lait	milk	lait	milk/milk	lait/lait	635	MILK	noun
concepts-6171	6171	motorcyle	motociclette	motorcycle	motociclette	vehicle/motor vehicle	véhicule/voiture	638	MOTORCYCLE	noun
concepts-6176	6176	mountain, tall inselberg	montagne, grand inselberg	mountain, inselberg	montagne, inselberg	topography/mountain/slope	topographie/montagne/pente	639	MOUNTAIN	noun
concepts-6190	6190	mud	boue	mud	boue	soil/stone/mud	sol/pierre/boue	640	MUD	noun
concepts-6312	6312	need (noun), necessity	besoin, nécessité	need	besoin	desire/need/need	désir/besoin/besoin	643	NEED (NOUN)	noun
concepts-2007	2007	ashes	cendre	ashes	cendre	fire/ashes	feu/cendre	646	ASH	noun
concepts-6569	6569	paint (noun)	peinture (produit)	paint	peinture	color/dye	couleur/colorant	647	PAINT (PIGMENTS)	noun
concepts-6580	6580	paper	papier	paper	papier	write/draw/paper	écrire/tracer/papier	648	PAPER	noun
concepts-6596	6596	pasture	pâturage	pasture	pâturage	livestock/nourishment	bétail/nourriture	649	PASTURE	noun
concepts-6756	6756	plain, flat lowland	plaine, terrain plat entre les inselbergs	plain	plaine	topography/plain/meadow	topographie/plaine/pré	652	PLAIN	noun
concepts-6757	6757	plain, simple, without anything special	simple, sans rien de spécial	plain, simple	simple	quantity/free/plain	quantité/libre/simple		PLAIN	adjective
concepts-6789	6789	poison (e.g. insecticide)	poison (par ex., insecticide)	poison	poison	food/poison	aliment/poison	655	POISON	noun
concepts-6801	6801	policeman, cop	policier, flic	police	police	power/police	force/gendarme/police	656	POLICE	noun
concepts-6902	6902	price	prix	price	prix	commerce/price	commerce/prix	657	PRICE	noun
concepts-7056	7056	rain (noun)	pluie	rain	pluie	weather/rain	météorologie/pluie	658	RAIN (PRECIPITATION)	noun
concepts-7168	7168	reed (firm comb, held down by a heavy rod underneath) in a weaver's loom with which the weaver pulls each length of thin thread (woof) onto the finished fabric	peigne ferme avec laquelle le tisserand tire chaque fil mince contre le tissu	reed, comb	peigne	weaving/cotton/pedal/reed	tissage/coton/pédale/peigne	659	REED	noun
concepts-7184	7184	religion, Islam	religion, islam	religion	religion	religion/religion	religion/religion	661	RELIGION	noun
concepts-4606	4606	gum, resin (of any tree)	gomme, résine (de tout arbre)	gum, resin	gomme, résine	part (plant)/gum arabic	partie (plante)/gomme arabique	664	RESIN	noun
concepts-4899	4899	highway, wide road	route, chemin large	highway	route	topography/road	topographie/chemin	667	ROAD	noun
concepts-7348	7348	root	racine	root	racine	part (plant)/root	partie (plante)/racine	670	ROOT	noun
concepts-7459	7459	sand, sandy soil	sable, sol sableux	sand	sable	soil/stone/sand	sol/pierre/sable	671	SAND	noun
concepts-3709	3709	early	tôt	early	tôt	time/first/early	temps/premier/tôt	672	EARLY	adjective
concepts-6180	6180	mouth	bouche	mouth	bouche	body/mouth	corps/bouche	674	MOUTH	noun
concepts-3915	3915	excrement, shit (noun)	excréments, caca	excrement, shit	excréments, caca	body function/defecate	fonctionnement corporel/déféquer	675	FAECES (EXCREMENT)	noun
concepts-3435	3435	defecate (verb only)	déféquer (verbe seulement)	defecate, shit	déféquer, chier	body function/defecate	fonctionnement corporel/déféquer	676	SHIT (DEFECATE)	verb
concepts-2057	2057	ax (general word)	hache (mot général)	ax	hache	knife/ax/blade/ax	couteau/hache/lame/hache	677	AXE	noun
concepts-2298	2298	beard	barbe	beard	barbe	body/hair	corps/poil	678	BEARD	noun
concepts-2579	2579	break (cigarette), break apart (two joined objects)	casser (cigarette), séparer en cassant (deux objets liés)	break off	casser	break/break off	casser/casser morceau	2558	BREAK (CLEAVE)	verb
concepts-2580	2580	break (e.g. bread, cassava) in half with the hands	casser (baguette de pain, manioc, etc.) en deux avec la main	break, snap	casser	break/break	casser/casser	680	BREAK (DESTROY OR GET DESTROYED)	verb
concepts-3470	3470	destroy (e.g. a village)	détruire (village, etc.)	destroy	détruite	malfunction/repair/malfunction	abîmer/réparer/abîmer	681	DESTROY	verb
concepts-7761	7761	side (of sth)	côté (de qch)	side	côté	part (object)/side	partie (object)/côté	682	SIDE	noun
concepts-6661	6661	person, human being	personne, être humain	person	personne	person/person	personne/personne	683	PERSON	noun
concepts-1829	1829	adjudge, decide (a case)	juger (un cas)	decide, judge	juger	law/judgement	loi/jugement	685	DECIDE	verb
concepts-3749	3749	easy (work)	(travail) facile	easy	facile	do/work/difficult/easy	faire/travail/difficile/facile	686	EASY	adjective
concepts-6395	6395	nothing (without other negation)	rien (sans autre négation)	nothing	rien	quantity/nothing	quantité/rien	687	NOTHING	other
concepts-5747	5747	lung	poumon	lung	poumon	body/internal organ	corps/organe interne	688	LUNG	noun
concepts-2414	2414	between ... and ...	entre ... et ...	between	entre	spatial relation/between	rapport spatial/entre	689	BETWEEN	other
concepts-2519	2519	bottom, bottom part (of sth)	fond, partie inférieure (de qch)	bottom	bas, fond	part (object)/base	partie (object)/bas	690	BOTTOM	noun
concepts-2640	2640	bring	apporter, amener	bring	apporter, amener	bring/deliver/send/bring	apporter/emmener/envoyer/apporter	692	BRING	verb
concepts-4285	4285	from (place, to another place)	de (lieu, à un autre lieu)	from	de	spatial relation/endpoint	rapport spatial/terminus	693	FROM	other
concepts-4380	4380	get, obtain	obtenir	get, obtain	obtenir	take/get/get	prendre/obtenir/obtenir	694	GET	verb
concepts-7124	7124	receive, accept, take (sth given)	recevoir, accepter, prendre (chose donnée)	receive, take, accept	recevoir, accepter, prendre	take/get/receive	prendre/obtenir/recevoir	694	GET	verb
concepts-4441	4441	go	aller	go	aller	motion/go	mouvement/aller	695	GO	verb
concepts-2255	2255	be prudent, wise	ê. prudent, sage	prudent, wise	prudent, sage	mental/intelligent	mental/intelligent	698	WISE	adjective
concepts-2292	2292	be wise, possess wisdom	ê. sage, avoir de la sagesse	wise	sage	mental/intelligent	mental/intelligent	698	WISE	adjective
concepts-7438	7438	sad, disappointed	triste, déçu	sad, disappointed	triste, déçu	emotion/temperament/discourage	émotion/nature/décourager	699	SAD	adjective
concepts-2796	2796	carry (hoe, ax) with blade resting on one's shoulder	porter (houe, hache) avec la lame sur l'épaule	carry	porter	carry/load/carry on shoulder	porter/charger/porter à l'épaule	3438	CARRY (WITH POLE ON SHOULDER)	verb
concepts-2804	2804	carry, transport (sth, e.g. on a cart)	porter, transporter (qch, par ex. sur une charrette)	carry	porter	carry/load/carry (on head)	porter/charger/porter (sur la tête)	700	CARRY	verb
concepts-7911	7911	slow (adjective)	lent	slow	lent	speed/slow	vitesse/lent	701	SLOW	adjective
concepts-2829	2829	catch, take hold of (sth)	attraper (qch)	catch	attraper	take/get/pick up/catch	prendre/obtenir/prendre/attraper	702	CATCH	verb
concepts-8131	8131	soon	bientôt	soon	bientôt	time/after	temps/après	703	SOON	other
concepts-3009	3009	cleanness	propreté	clean	propre	clean/dirty/clean	propre/sale/propre	704	CLEAN	adjective
concepts-4490	4490	go up, rise	monter	go up, rise	monter	direction/up	direction/haut	705	GO UP (ASCEND)	verb
concepts-6174	6174	mount (on an animal)	monter (sur un animal)	mount	monter	direction/up	direction/haut		MOUNT	verb
concepts-2316	2316	become black or dark	devenir noir ou foncé	black, dark	noir, foncé	color/black	couleur/noir	706	DARK	adjective
concepts-7191	7191	remember	se rappeler, se souvenir	remember	se rappeler, se souvenir	mental/remember	mental/se rappeler	707	REMEMBER	verb
concepts-394	394	(e.g. lightbulb, star) shine, be luminous	(ampoule, étoile, etc.) briller	shine	briller	light/darkness/shine	lumière/obscurité/briller	2236	SHINE (EMITTED LIGHT)	verb
concepts-402	402	(e.g. metallic surface) shine, be shiny	(surface métallique, etc.) briller, luire, ê. brillant	shine	briller	light/darkness/shine	lumière/obscurité/briller	708	SHINE	verb
concepts-8677	8677	teach, instruct (sb, how to do sth)	enseigner (qn, à faire qch)	teach	enseigner	mental/teach	mental/enseigner	709	TEACH	verb
concepts-8421	8421	straight and long or tall (staff, tree, person)	droit et long ou de haute taille (bâton, arbre, personne)	straight and long	droit et long	straight/crooked/straight	droit/tordu/droit (non tordu)	711	TALL	
concepts-7275	7275	rich person, wealthy person	richard, personne riche	rich	riche	money/rich	argent/riche	712	RICH	adjective
concepts-8326	8326	steal (sth)	voler (qch)	rob, steal	voler	crime/deception/theft	délit/duperie/vol	713	STEAL	verb
concepts-7569	7569	seedstock, seeds for sowing	semailles (qu'on sème)	seedstock	semaille	agriculture/seedstock	agriculture/semence	714	SEED	noun
concepts-9685	9685	yell, shout loudly (e.g. a general warning, to anyone within earshot)	crier à haute voix (par ex., un avertissement général, à tous ceux qui peuvent entendre)	shout, yell	crier	sound/shout	son/crier	715	SHOUT	verb
concepts-4581	4581	groan, moan (verb only)	gémir	groan, moan	gémir	sound/groan	son/gémir	716	GROAN	verb
concepts-8560	8560	sweet, sugary (taste)	(goût) doux, sucré	sweet	doux	taste/sweet	goût/doux	717	SWEET	adjective
concepts-3140	3140	contribute (money), pay (dues)	cotiser, contribuer (argent)	contribute	cotiser	money/dues	argent/cotisation	718	PAY	verb
concepts-6603	6603	pay (sth), pay back (debt)	payer (qch), liquider (dette)	pay	payer	money/pay	argent/payer		REIMBURSE	verb
concepts-6607	6607	pay, repay (sb)	payer, rembourser (qn)	pay	payer	money/pay	argent/payer	718	PAY	verb
concepts-3826	3826	encounter, find (by chance or by design)	rencontrer (par hasard ou exprès)	encounter, meet	rencontrer	lose/search/find/encounter	perdre/chercher/retrouver/rencontrer	719	FIND	verb
concepts-4104	4104	find, recover (sth lost)	retrouver (qch de perdu)	find	retrouver	lose/search/find/recover	perdre/chercher/retrouver/retrouver	719	FIND	verb
concepts-4501	4501	good luck	bonne chance	luck	chance	well-being/luck	bien-être/chance	720	GOOD LUCK	noun
concepts-1349	1349	(water in drying pond) be low	(eau d'une mare tarissante) ê. bas	dry up, low (water)	tarir, bas (eau)	wet/dry/dry up	mouillé/sec/absorber	721	LOW	adjective
concepts-3979	3979	fall (on), attack	tomber (sur), attaquer	attack	attaquer	fight/attack	lutte/attaquer	722	ATTACK	noun
concepts-6753	6753	place, location	lieu, endroit	place	lieu, endroit	space/place	espace/endroit	723	PLACE (POSITION)	noun
concepts-7111	7111	read (sth)	lire (qch)	read	lire	write/draw/read	écrire/tracer/lire	724	READ	verb
concepts-6439	6439	old person	vieille personne	old, elderly	vieux, âgé	age/old	âge/vieux	725	OLD PERSON	noun
concepts-2146	2146	be a fairly long time, be a while	durer assez longtemps	long time, while	durer, longtemps	time/duration	temps/durer	726	WHILE	noun
concepts-9443	9443	which?	quel?	which?	quel?	interrogative/which	interrogation/quel	727	WHICH	other
concepts-4127	4127	first (adj)	premier	first	premier	ordinal/first	ordinal/premier	728	FIRST	other
concepts-3399	3399	dawn, sunrise	aube, lever du soleil	dawn, sunrise	aube	celestial body/rise	corps céleste/lever	729	DAWN	noun
concepts-22	22	(2Sg all-purpose possessor)	(possessif 2Sg)	2Sg possessor	possessif 2Sg	grammar/possessor pronoun	grammaire/pronom possessif	732	YOUR (SINGULAR)	pronoun
concepts-3720	3720	earn or gain something, make a profit	gagner qch, avoir un bénéfice	profit	bénéfice	commerce/profit	commerce/bénéfice	733	EARN	verb
concepts-171	171	(artisan, craftsman, factory) make, manufacture (e.g. bed, radio)	(artisan, usine) fabriquer (lit, radio, etc.)	make, manufacture	fabriquer	do/work/do/make	faire/travail/faire	734	MAKE	verb
concepts-9018	9018	turn on (lights)	allumer (lumière)	turn on	allumer	light/darkness/turn on	lumière/obscurité/allumer	737	LIGHT (IGNITE)	verb
concepts-8777	8777	thing (general term)	chose (mot général)	thing, object	chose, objet	existence/object	existence/object	738	THING	noun
concepts-4044	4044	feed, nourish, give meals to	nourrir, donner à manger à	feed	nourrir	eat/offer food	manger/nourrir	739	FEED	verb
concepts-7691	7691	ship, steamboat	bateau, bateau à vapeur	boat	pirogue	vehicle/boat	véhicule/bateau/pirogue	740	SHIP	noun
concepts-3655	3655	drive (vehicle)	conduire (véhicule)	drive	conduire	push/pull/throw/drive	pousser/tirer/jeter/conduire	741	DRIVE	verb
concepts-3835	3835	end, limit	fin, bout, limite	end	fin	begin/finish/finish	commencer/terminer/terminer	742	END (OF SPACE)	noun
concepts-3769	3769	egg	œuf	egg	œuf	chicken/egg	poulet/œuf	744	EGG	noun
concepts-2417	2417	bicycle	vélo	bicycle	vélo	vehicle/bicycle	véhicule/vélo	747	BICYCLE	noun
concepts-8159	8159	sow (seeds) in a pit with manure after the first rains	semer (semences) dans un trou avec du fumier après les premières pluies	sow in pit	semer dans un trou	agriculture/pit sowing	agriculture/semer dans un trou	748	SOW SEEDS	verb
concepts-3851	3851	enter, go inside (sth)	entrer dans (qch)	enter, go in	entrer	motion/enter	mouvement/entrer	749	ENTER	verb
concepts-804	804	(object) drop, fall out (from one's hand, from a tree)	(objet) tomber en échappant (de la main, d'un arbre)	drop	laisser tomber	fall/fall	tomber/tomber	750	DROP	verb
concepts-7745	7745	shrub or woody bush	arbuste ou buisson ligneux	shrub, bush (plant)	arbuste, buisson	wood/stick/tree	bois/bâton/arbre	751	SHRUB	noun
concepts-119	119	(a) shop, store	boutique	shop, store	boutique	commerce/commerce	commerce/commerce	752	STORE	noun
concepts-7186	7186	rely on, depend on (sth)	dépendre de (qch)	rely, depend	dépendre	together/separate/trust	ensemble/à part/confiance	756	DEPEND	verb
concepts-2727	2727	button (noun)	bouton (de chemise etc.)	button	boutonner	clothing/wear	vêtements/porter	757	BUTTON	noun
concepts-7784	7784	silver (metal)	argent-métal	silver	argent	metal/silver	métal/argent-métal	759	SILVER	noun
concepts-5327	5327	knot	nœud	knot	nœud	attach/rope/knot	attacher/corde/nœud	760	KNOT	noun
concepts-3220	3220	cover the opening of (e.g. jar, with e.g. a cloth)	couvrir, fermer l'ouverture de (canari, etc.) (avec un tissu, par ex.)	cover	couvrir	cover/cover opening	couvrir/couvrir ouverture	761	COVER	verb
concepts-6540	6540	outside (adverb)	à l'extérieur, au dehors	outside	extérieur, dehors	spatial relation/outside	rapport spatial/dehors	762	OUTSIDE	other
concepts-7840	7840	skin	peau	skin	peau	body/body substance	corps/substance corporelle	763	SKIN	noun
concepts-6183	6183	move (to a new dwelling), relocate	déménager	move, relocate	déménager	existence/change	existence/changer	765	MOVE	verb
concepts-5984	5984	menstrual period	règles (de femme), état de menstruation	menstruation	menstres, règles	body function/menstruate	fonctionnement corporel/menstres	766	MENSTRUATION	noun
concepts-3411	3411	dead person, corpse	(un) mort, (le) décédé, cadavre	corpse	cadavre	life/death/corpse	vie/mort/cadavre	767	CORPSE	noun
concepts-5746	5746	lunch	déjeuner	lunch	déjeuner	food/daily meal	aliment/repas quotidien	768	LUNCH	noun
concepts-7341	7341	roof	toit	roof	toit	house/roof	maison/toit	769	ROOF	noun
concepts-3721	3721	earring	boucle d'oreille	earring	boucle	jewelry/earring	bijoux/boucle d'oreille	770	EARRING	noun
concepts-4712	4712	hat (any type)	chapeau (toute sorte)	hat	chapeau	clothing/headwear	vêtements/chapeau/foulard	771	HAT	noun
concepts-2402	2402	belt or belt-cord (all types)	ceinture (toutes sortes)	belt	ceinture	clothing/belt	vêtements/ceinture	772	BELT	noun
concepts-4720	4720	have	avoir	have	avoir	possession/have	possession/avoir	773	HAVE	verb
concepts-8042	8042	smoke	fumée	smoke	fumée	fire/smoke/steam	feu/femée/vapeur	778	SMOKE (EXHAUST)	noun
concepts-6591	6591	part, component (of apparatus)	élément, pièce (d'un appareil)	part, component	élément, pièce	part (object)/piece	partie (object)/partie/morceau	779	PART	noun
concepts-5	5	(1Pl all-purpose possessor)	(possessif 1Pl)	1Pl possessor	possessif 1Pl	grammar/possessor pronoun	grammaire/pronom possessif	780	OUR	pronoun
concepts-4033	4033	fear (noun)	peur	fear	peur	emotion/temperament/fear	émotion/nature/peur	781	FEAR (FRIGHT)	noun
concepts-3434	3434	defeat, overpower, vanquish	vaincre, battre	defeat	vaincre	power/defeat	force/vaincre	782	DEFEAT	noun
concepts-8480	8480	strong, powerful	fort, puissant	strong, powerful	fort, puissant	power/strong	force/fort	785	STRONG	adjective
concepts-8077	8077	soap	savon	soap	savon	soda ash/soap/soap	potasse/savon/savon	788	SOAP	noun
concepts-2503	2503	boil (liquid), bring to a boil	faire bouillir (liquide)	boil	bouillir	liquid/boil	liquide/bouillir	792	BOIL (OF LIQUID)	verb
concepts-6359	6359	nipple (of woman or female animal)	mamelon (de femme ou d'animal femelle)	nipple	mamelon	body/torso	corps/torse	796	NIPPLE	noun
concepts-8703	8703	testicles	testicules	testicles	testicules	body/genital	corps/partie génitale	797	TESTICLES	noun
concepts-5237	5237	jaw (lower)	mâchoire (inférieure)	jaw	machoire	body/bone	corps/os	798	JAW	noun
concepts-9672	9672	wrist	poignet	wrist	poignet	body/joint	corps/articulation	799	WRIST	noun
concepts-7269	7269	rib	côte	rib	côte	body/bone	corps/os	801	RIB	noun
concepts-1451	1451	Adam's apple (man's)	pomme d'Adan (d'un homme)	adam's apple	pomme d'Adam	body/throat	corps/gorge	802	ADAM'S APPLE	noun
concepts-1937	1937	ankle	cheville	ankle	cheville	body/joint	corps/articulation	803	ANKLE	noun
concepts-9578	9578	womb	matrice	womb	matrice	body/internal organ	corps/organe interne	804	WOMB	noun
concepts-8214	8214	spinal cord, spine	colonne vertébrale	spine	vertèbre	body/bone	corps/os	805	SPINE	noun
concepts-2464	2464	blanket or sheet (body covering for sleeping)	couverture ou drap (pour dormir)	blanket	couverture	cover/cover body	couvrir/couvrir corps	806	BLANKET	noun
concepts-316	316	(dripping) one drop at a time	goutte par goutte	drip	goutter	liquid/drop	liquide/goutte	808	DRIP (FALL IN GLOBULES)	verb
concepts-6577	6577	pants	pantalon	pants	pantalon	clothing/pants	vêtements/pantalon	809	TROUSERS	noun
concepts-8147	8147	soul	âme	soul	âme	life/death/spirit	vie/mort/esprit	811	SOUL	noun
concepts-7861	7861	slave	esclave	slave	esclave	status/slave	rang/esclave	812	SLAVE	noun
concepts-4369	4369	get dressed	s'habiller	dress	habiller. vêtir	clothing/wear	vêtements/porter	814	DRESS UP	verb
concepts-2047	2047	authorities, government	(le) Pouvoir, (les) autorités, gouvernement	authority, government	pouvoir, gouvernement	power/authority	force/autorité	815	GOVERNMENT	noun
